"site_name","year","detected","effort","sources","in_study_extent","zone_id","latitude","longitude","previous_year","previous_detected","previous_sources","gap"
"Neah Bay",2024,TRUE,87,"Makah",TRUE,1,48.3733072280787,-124.625018903654,2023,FALSE,"Makah",1
"Nick's Lagoon",2022,TRUE,130,"WDFW; WDFW raw; WDFW, WSG",TRUE,9,47.6381564778259,-122.838649402624,2021,FALSE,"WSG",1
"Post Point Lagoon",2023,TRUE,310,"WDFW; WDFW raw; WDFW, WSG",FALSE,NA,48.7183793977393,-122.516020548321,2022,FALSE,"WDFW; WDFW raw; WDFW, WSG",1
"Shore Trail",2023,TRUE,178,"Padilla; WSG, Padilla",TRUE,4,48.4724290086957,-122.470378004348,2022,FALSE,"Padilla; WSG, Padilla",1
"Squalicum Harbor",2023,TRUE,18,"WDFW; WDFW raw",FALSE,NA,48.7574574584104,-122.497445662325,2022,FALSE,"WDFW; WDFW raw",1
"Sullivan Minor",2023,TRUE,130,"Padilla; WSG, Padilla",TRUE,4,48.5022264909091,-122.484404695455,2022,FALSE,"Padilla; WSG, Padilla",1
"Swinomish Casino Marsh",2021,TRUE,134,"Padilla; WSG, Padilla",TRUE,4,48.4608765888889,-122.522456822222,2020,FALSE,"WSG",1
"Waikiki Lagoon",2022,TRUE,210,"WDFW; WDFW raw",FALSE,NA,46.2792264962041,-124.061905144354,2021,FALSE,"WDFW; WDFW raw",1
"West 90 North",2022,TRUE,205,"Padilla; WSG, Padilla",TRUE,4,48.5504455,-122.499990633333,2021,FALSE,"Padilla; WSG, Padilla",1
"Westcott Bay",2018,TRUE,4,"WSG",TRUE,3,48.6083411,-123.1435999,2017,FALSE,"WSG",1
"anderson",2013,TRUE,6,"DFO",TRUE,2,48.3597116666667,-123.65935,2012,FALSE,"DFO",1
"apple",2014,TRUE,36,"DFO",FALSE,NA,50.6054410416667,-127.655841666667,2013,FALSE,"DFO",1
"barnes",2013,TRUE,6,"DFO",TRUE,2,48.360005,-123.653516666667,2012,FALSE,"DFO",1
"coaster",2016,TRUE,6,"DFO",FALSE,NA,48.894915,-125.3308,2015,FALSE,"DFO",1
"dodd",2016,TRUE,6,"DFO",FALSE,NA,48.91725,-125.33145,2015,FALSE,"DFO",1
"fatty",2014,TRUE,22,"DFO",FALSE,NA,48.9791681818182,-125.011570833333,2013,FALSE,"DFO",1
"galato",2013,TRUE,25,"DFO",FALSE,NA,50.5302746068966,-128.018781245977,2012,FALSE,"DFO",1
"gibralter",2016,TRUE,6,"DFO",FALSE,NA,48.9128,-125.259066666667,2015,FALSE,"DFO",1
"hand",2016,TRUE,12,"DFO",FALSE,NA,48.9511945833333,-125.3146125,2015,FALSE,"DFO",1
"hillier",2008,TRUE,12,"DFO",FALSE,NA,49.0319439484394,-125.322502309191,2007,FALSE,"DFO",1
"kelpnorth",2015,TRUE,23,"DFO",FALSE,NA,48.8530501086957,-125.109548913043,2014,FALSE,"DFO",1
"monkey",2013,TRUE,24,"DFO",FALSE,NA,50.4586481666667,-127.8096,2012,FALSE,"DFO",1
"possibleGPSerror",2013,TRUE,24,"DFO",FALSE,NA,50.2932062058081,-126.295413320707,2012,FALSE,"DFO",1
"sookeriver",2013,TRUE,17,"DFO",TRUE,2,48.3830174877451,-123.69842120098,2012,FALSE,"DFO",1
"useless",2011,TRUE,18,"DFO",FALSE,NA,48.9930981751082,-125.02713042316,2010,FALSE,"DFO",1
"wouwer",2016,TRUE,12,"DFO",FALSE,NA,48.86482,-125.353025,2015,FALSE,"DFO",1
