"site_name","year","trap_type","data_sources","catch","effort","cpue","latitude","longitude"
"Blakely Harbor",2016,"Fukui","WSG",0,4,0,47.5959604669583,-122.51674251875
"Blakely Harbor",2017,"Fukui","WSG",0,4,0,47.5959604669583,-122.51674251875
"Blakely Harbor",2018,"Fukui","WSG",0,4,0,47.5959604669583,-122.51674251875
"Blakely Harbor",2019,"Fukui","WSG",0,4,0,47.5959604669583,-122.51674251875
"Blakely Harbor",2020,"Fukui","WSG",0,4,0,47.5959604669583,-122.51674251875
"Blakely Harbor",2021,"Fukui","WSG",0,4,0,47.5959604669583,-122.51674251875
"Blakely Harbor",2022,"Fukui","WSG",0,4,0,47.5959604669583,-122.51674251875
"Blakely Harbor",2023,"Fukui","WSG",0,4,0,47.5959604669583,-122.51674251875
"Blakely Harbor",2024,"Fukui","WDFW",0,20,0,47.5959604669583,-122.51674251875
"Blakely Harbor",2024,"Minnow","WDFW",0,20,0,47.5959604669583,-122.51674251875
"Blakely Harbor",2024,"Shrimp","WDFW",0,3,0,47.5959604669583,-122.51674251875
"Blue Slough",2021,"Fukui","WDFW",0,20,0,46.9408283,-123.71992935
"Blue Slough",2021,"Minnow","WDFW",0,20,0,46.9408283,-123.71992935
"Boat Haven",2023,"Shrimp","WDFW",0,10,0,48.12478238,-123.45023373
"Boat Haven Marina",2023,"Shrimp","WDFW",0,13,0,48.1063857216667,-122.775375589286
"Bone River",2020,"Fukui","WDFW",17,24,0.708333333333333,46.6521352900641,-123.920759288462
"Bone River",2020,"Minnow","WDFW",61,26,2.34615384615385,46.6521352900641,-123.920759288462
"Brady's Oyster",2021,"Fukui","WSG",25,4,6.25,46.86228,-124.0729
"Brady's Oyster",2022,"Fukui","WSG",28,4,7,46.86228,-124.0729
"Brady's Oyster",2023,"Fukui","WSG",26,4,6.5,46.86228,-124.0729
"Brady's Oysters",2020,"Fukui","WDFW",13,30,0.433333333333333,46.86211445,-124.074064133333
"Brady's Oysters",2020,"Minnow","WDFW",20,30,0.666666666666667,46.86211445,-124.074064133333
"Bremerton Yacht Club",2017,"Fukui","WSG",0,4,0,47.58671427625,-122.665893709375
"Bremerton Yacht Club",2018,"Fukui","WSG",0,4,0,47.58671427625,-122.665893709375
"Bremerton Yacht Club",2019,"Fukui","WSG",0,4,0,47.58671427625,-122.665893709375
"Bremerton Yacht Club",2020,"Fukui","WSG",0,4,0,47.58671427625,-122.665893709375
"Bremerton Yacht Club",2021,"Fukui","WSG",0,4,0,47.58671427625,-122.665893709375
"Bremerton Yacht Club",2022,"Fukui","WSG",0,4,0,47.58671427625,-122.665893709375
"Bremerton Yacht Club",2023,"Fukui","WSG",0,6,0,47.58671427625,-122.665893709375
"Bremerton Yacht Club",2024,"Shrimp","WDFW",0,4,0,47.58671427625,-122.665893709375
"Bremerton Yacht Club Lagoon",2024,"Fukui","WDFW",0,5,0,47.58665606775,-122.6663993875
"Bremerton Yacht Club Lagoon",2024,"Minnow","WDFW",0,4,0,47.58665606775,-122.6663993875
"Butterball Cove",2015,"Fukui","WSG",0,2,0,47.1181638,-122.7619788
"Butterball Cove",2016,"Fukui","WSG",0,4,0,47.1181638,-122.7619788
"Butterball Cove",2017,"Fukui","WSG",0,4,0,47.1181638,-122.7619788
"Butterball Cove",2018,"Fukui","WSG",0,4,0,47.1181638,-122.7619788
"Butterball Cove",2019,"Fukui","WSG",0,4,0,47.1181638,-122.7619788
"Butterball Cove",2020,"Fukui","WSG",0,4,0,47.1181638,-122.7619788
"Butterball Cove",2021,"Fukui","WSG",0,4,0,47.1181638,-122.7619788
"Butterball Cove",2022,"Fukui","WSG",0,4,0,47.1181638,-122.7619788
"Butterball Cove",2023,"Fukui","WSG",0,4,0,47.1181638,-122.7619788
"Cain Creek",2019,"Fukui","WDFW",1,16,0.0625,48.9972975,-122.75485
"Cain Creek",2019,"Minnow","WDFW",0,16,0,48.9972975,-122.75485
"Campbell Slough",2020,"Fukui","WDFW",26,18,1.44444444444444,47.0419806472222,-124.065336419444
"Campbell Slough",2020,"Minnow","WDFW",23,20,1.15,47.0419806472222,-124.065336419444
"Cape Disappointment - Boat Launch",2021,"Fukui","WDFW",0,5,0,46.2849258186053,-124.052274475395
"Cape Disappointment - Boat Launch",2021,"Minnow","WDFW",0,5,0,46.2849258186053,-124.052274475395
"Cape Disappointment - Boat Launch",2022,"Fukui","WDFW",2,19,0.105263157894737,46.2849258186053,-124.052274475395
"Cape Disappointment - Boat Launch",2022,"Minnow","WDFW",1,19,0.0526315789473684,46.2849258186053,-124.052274475395
"Cape Disappointment - Boat Launch",2022,"Shrimp","WDFW",0,2,0,46.2849258186053,-124.052274475395
"Cape Disappointment - Boat Launch",2023,"Fukui","WDFW",0,20,0,46.2849258186053,-124.052274475395
"Cape Disappointment - Boat Launch",2023,"Minnow","WDFW",2,20,0.1,46.2849258186053,-124.052274475395
"Cape Disappointment - Boat Launch",2023,"Shrimp","WDFW",0,20,0,46.2849258186053,-124.052274475395
"Carpenter Creek",2016,"Fukui","WSG",0,3,0,47.7943452,-122.5066661
"Carpenter Creek",2017,"Fukui","WSG",0,3,0,47.7943452,-122.5066661
"Carpenter Creek",2018,"Fukui","WSG",0,4,0,47.7943452,-122.5066661
"Carpenter Creek",2019,"Fukui","WSG",0,3,0,47.7943452,-122.5066661
"Carpenter Creek",2020,"Fukui","WSG",0,3,0,47.7943452,-122.5066661
"Carpenter Creek",2021,"Fukui","WSG",0,3,0,47.7943452,-122.5066661
"Carpenter Creek",2022,"Fukui","WSG",0,3,0,47.7943452,-122.5066661
"Carpenter Creek",2023,"Fukui","WSG",0,3,0,47.7943452,-122.5066661
"Cedar River",2021,"Fukui","WDFW",1,12,0.0833333333333333,46.7395000555556,-123.975004861111
"Cedar River",2021,"Minnow","WDFW",5,14,0.357142857142857,46.7395000555556,-123.975004861111
"Chapman Cove",2024,"Fukui","WDFW",0,20,0,47.2263919726667,-123.041502676667
"Chapman Cove",2024,"Minnow","WDFW",0,20,0,47.2263919726667,-123.041502676667
"Chapman Cove",2024,"Shrimp","WDFW",0,4,0,47.2263919726667,-123.041502676667
"Chehalis River",2022,"Shrimp","WDFW",246,39,6.30769230769231,46.9612773438462,-123.771251761538
"Chicken Coop Creek",2019,"Fukui","WDFW",0,20,0,48.0266996781046,-122.997892514869
"Chicken Coop Creek",2019,"Minnow","WDFW",0,36,0,48.0266996781046,-122.997892514869
"Chicken Coop Creek",2021,"Fukui","WDFW",0,17,0,48.0266996781046,-122.997892514869
"Chicken Coop Creek",2021,"Minnow","WDFW",0,24,0,48.0266996781046,-122.997892514869
"Chicken Coop Creek",2021,"Shrimp","WDFW",1,3,0.333333333333333,48.0266996781046,-122.997892514869
"Chico Creek",2023,"Fukui","WDFW",0,30,0,47.604829907968,-122.698955184687
"Chico Creek",2023,"Minnow","WDFW",0,35,0,47.604829907968,-122.698955184687
"Chico Creek",2023,"Shrimp","WDFW",0,10,0,47.604829907968,-122.698955184687
"Chico Creek",2024,"Fukui","WDFW",0,19,0,47.604829907968,-122.698955184687
"Chico Creek",2024,"Minnow","WDFW",0,19,0,47.604829907968,-122.698955184687
"Chico Creek",2024,"Shrimp","WDFW",0,4,0,47.604829907968,-122.698955184687
"Chimacum Creek",2018,"Fukui","WDFW",0,5,0,48.0489435833333,-122.7716705
"Chimacum Creek",2018,"Minnow","WDFW",0,5,0,48.0489435833333,-122.7716705
"Chimacum Creek",2020,"Fukui","WDFW",0,2,0,48.0489435833333,-122.7716705
"Chimacum Creek",2020,"Minnow","WDFW",0,3,0,48.0489435833333,-122.7716705
"Chinook River",2021,"Fukui","WDFW",0,8,0,46.3067905625,-123.9580898125
"Chinook River",2021,"Minnow","WDFW",0,8,0,46.3067905625,-123.9580898125
"Chuckanut Bay",2017,"Fukui","WSG",0,4,0,48.6988647996798,-122.501562974389
"Chuckanut Bay",2018,"Fukui","WSG",0,4,0,48.6988647996798,-122.501562974389
"Chuckanut Bay",2019,"Fukui","WDFW, WSG",3,112,0.0267857142857143,48.6988647996798,-122.501562974389
"Chuckanut Bay",2019,"Minnow","WDFW",0,114,0,48.6988647996798,-122.501562974389
"Chuckanut Bay",2020,"Fukui","WDFW, WSG",0,34,0,48.6988647996798,-122.501562974389
"Chuckanut Bay",2020,"Minnow","WDFW",0,30,0,48.6988647996798,-122.501562974389
"Chuckanut Bay",2021,"Fukui","WDFW, WSG",0,44,0,48.6988647996798,-122.501562974389
"Chuckanut Bay",2021,"Minnow","WDFW",0,40,0,48.6988647996798,-122.501562974389
"Chuckanut Bay",2022,"Fukui","WDFW, WSG",2,69,0.0289855072463768,48.6988647996798,-122.501562974389
"Chuckanut Bay",2022,"Minnow","WDFW",0,65,0,48.6988647996798,-122.501562974389
"Chuckanut Bay",2022,"Shrimp","WDFW",0,5,0,48.6988647996798,-122.501562974389
"Chuckanut Bay",2023,"Fukui","WDFW, WSG",3,94,0.0319148936170213,48.6988647996798,-122.501562974389
"Chuckanut Bay",2023,"Hand","WDFW",1,1,1,48.6988647996798,-122.501562974389
"Chuckanut Bay",2023,"Minnow","WDFW",3,90,0.0333333333333333,48.6988647996798,-122.501562974389
"Chuckanut Bay",2023,"Shrimp","WDFW",16,6,2.66666666666667,48.6988647996798,-122.501562974389
"Clallam River",2024,"Fukui","WDFW",0,14,0,48.2542103660714,-124.265282028571
"Clallam River",2024,"Minnow","WDFW",0,14,0,48.2542103660714,-124.265282028571
"Clark's Point Lagoon",2022,"Fukui","WDFW",0,4,0,48.6904815833333,-122.504428
"Clark's Point Lagoon",2022,"Minnow","WDFW",0,6,0,48.6904815833333,-122.504428
"Clark's Point Lagoon",2022,"Shrimp","WDFW",0,1,0,48.6904815833333,-122.504428
"Clarks Point",2019,"Fukui","WDFW",0,3,0,48.6997833333333,-122.513858333333
"Clarks Point",2019,"Minnow","WDFW",0,3,0,48.6997833333333,-122.513858333333
"Clearwater Creek",2023,"Fukui","WDFW",6,16,0.375,46.4490609083854,-123.907092161458
"Clearwater Creek",2023,"Hand","WDFW",1,1,1,46.4490609083854,-123.907092161458
"Clearwater Creek",2023,"Minnow","WDFW",4,16,0.25,46.4490609083854,-123.907092161458
"Clearwater Creek",2023,"Shrimp","WDFW",29,18,1.61111111111111,46.4490609083854,-123.907092161458
"Colony Creek",2020,"Fukui","WDFW",0,18,0,48.5992255667361,-122.423321222604
"Colony Creek",2020,"Minnow","WDFW",0,16,0,48.5992255667361,-122.423321222604
"Colony Creek",2021,"Fukui","WDFW",2,25,0.08,48.5992255667361,-122.423321222604
"Colony Creek",2021,"Minnow","WDFW",4,32,0.125,48.5992255667361,-122.423321222604
"Conference Center Lagoon",2024,"Fukui","WDFW",0,4,0,47.6402526231482,-122.829291127593
"Conference Center Lagoon",2024,"Minnow","WDFW",0,5,0,47.6402526231482,-122.829291127593
"Conference Center Lagoon",2024,"Shrimp","WDFW",8,9,0.888888888888889,47.6402526231482,-122.829291127593
"Copalis",2022,"Fukui","WDFW",12,63,0.19047619047619,47.116369409768,-124.175459096459
"Copalis",2022,"Minnow","WDFW",22,65,0.338461538461538,47.116369409768,-124.175459096459
"Copalis River",2021,"Fukui","WDFW",1,14,0.0714285714285714,47.1154091857143,-124.174557116667
"Copalis River",2021,"Minnow","WDFW",0,15,0,47.1154091857143,-124.174557116667
"Crandall Spit",2016,"Fukui","WSG",0,2,0,48.4930814,-122.5780734
"Crandall Spit",2017,"Fukui","WSG",0,4,0,48.4930814,-122.5780734
"Crandall Spit",2018,"Fukui","WSG",0,4,0,48.4930814,-122.5780734
"Crandall Spit",2019,"Fukui","WSG",0,4,0,48.4930814,-122.5780734
"Crandall Spit",2020,"Fukui","WSG",0,3,0,48.4930814,-122.5780734
"Crandall Spit",2021,"Fukui","WSG",0,4,0,48.4930814,-122.5780734
"Crandall Spit",2022,"Fukui","WSG",0,4,0,48.4930814,-122.5780734
"Crandall Spit",2023,"Fukui","WSG",0,4,0,48.4930814,-122.5780734
"Crockett Lake",2017,"Fukui","WSG",0,3,0,48.162159,-122.670856
"Cultus Bay",2023,"Fukui","WDFW",0,33,0,47.9228461737451,-122.389578715824
"Cultus Bay",2023,"Minnow","WDFW",0,31,0,47.9228461737451,-122.389578715824
"Cultus Bay",2023,"Shrimp","WDFW",0,5,0,47.9228461737451,-122.389578715824
"Cultus Bay ",2023,"Shrimp","WDFW",0,3,0,47.9175376533333,-122.392037266667
"Cutthroat Creek (Willapa NWR)",2021,"Fukui","WSG",2,4,0.5,46.41425,-123.93459
"Cutthroat Creek (Willapa NWR)",2022,"Fukui","WSG",2,4,0.5,46.41425,-123.93459
"Cutthroat Creek (Willapa NWR)",2023,"Fukui","WSG",0,4,0,46.41425,-123.93459
"Cypress Island",2017,"Fukui","WSG",0,3,0,48.5512078,-122.6964201
"Cypress Island",2018,"Fukui","WSG",0,1,0,48.5512078,-122.6964201
"Cypress Island",2019,"Fukui","WSG",0,2,0,48.5512078,-122.6964201
"Cypress Island",2020,"Fukui","WSG",0,2,0,48.5512078,-122.6964201
"Cypress Island",2021,"Fukui","WSG",0,4,0,48.5512078,-122.6964201
"Cypress Island",2022,"Fukui","WSG",0,4,0,48.5512078,-122.6964201
"Cypress Island",2023,"Fukui","WSG",0,4,0,48.5512078,-122.6964201
"Dabob Bay NAP",2023,"Fukui","WDFW",0,41,0,47.8527311333323,-122.812548413293
"Dabob Bay NAP",2023,"Minnow","WDFW",0,40,0,47.8527311333323,-122.812548413293
"Davis Slough",2017,"Fukui","WSG",0,4,0,48.2401754,-122.3949708
"Davis Slough",2018,"Fukui","WSG",0,4,0,48.2401754,-122.3949708
"Davis Slough",2019,"Fukui","WSG",0,4,0,48.2401754,-122.3949708
"Davis Slough",2020,"Fukui","WSG",0,4,0,48.2401754,-122.3949708
"Davis Slough",2021,"Fukui","WSG",0,4,0,48.2401754,-122.3949708
"Davis Slough",2022,"Fukui","WSG",0,4,0,48.2401754,-122.3949708
"Davis Slough",2023,"Fukui","WSG",0,4,0,48.2401754,-122.3949708
"Davison Head",2018,"Fukui","WDFW",0,3,0,48.6217782561429,-123.14950173381
"Davison Head",2018,"Minnow","WDFW",0,3,0,48.6217782561429,-123.14950173381
"Davison Head",2019,"Fukui","WDFW",0,6,0,48.6217782561429,-123.14950173381
"Davison Head",2019,"Minnow","WDFW",0,6,0,48.6217782561429,-123.14950173381
"Davison Head",2023,"Fukui","WDFW",0,5,0,48.6217782561429,-123.14950173381
"Davison Head",2023,"Minnow","WDFW",0,6,0,48.6217782561429,-123.14950173381
"Davison Head",2023,"Shrimp","WDFW",0,2,0,48.6217782561429,-123.14950173381
"Deer Lagoon",2015,"Fukui","WSG",0,2,0,47.9945080596534,-122.489768788654
"Deer Lagoon",2016,"Fukui","WSG",0,4,0,47.9945080596534,-122.489768788654
"Deer Lagoon",2017,"Fukui","WSG",0,4,0,47.9945080596534,-122.489768788654
"Deer Lagoon",2018,"Fukui","WSG",0,4,0,47.9945080596534,-122.489768788654
"Deer Lagoon",2019,"Fukui","WSG",0,4,0,47.9945080596534,-122.489768788654
"Deer Lagoon",2020,"Fukui","WSG",0,4,0,47.9945080596534,-122.489768788654
"Deer Lagoon",2021,"Fukui","WSG",0,4,0,47.9945080596534,-122.489768788654
"Deer Lagoon",2022,"Fukui","WSG",0,4,0,47.9945080596534,-122.489768788654
"Deer Lagoon",2023,"Fukui","WDFW, WSG",0,45,0,47.9945080596534,-122.489768788654
"Deer Lagoon",2023,"Minnow","WDFW",0,37,0,47.9945080596534,-122.489768788654
"Deer Lagoon",2023,"Shrimp","WDFW",0,7,0,47.9945080596534,-122.489768788654
"Delta",2021,"Fukui","WDFW",0,22,0,48.9228052045455,-122.747150222727
"Delta",2021,"Minnow","WDFW",0,22,0,48.9228052045455,-122.747150222727
"Dewatto",2024,"Fukui","WDFW",0,13,0,47.451468231282,-123.053742211538
"Dewatto",2024,"Minnow","WDFW",0,13,0,47.451468231282,-123.053742211538
"Dewatto",2024,"Shrimp","WDFW",0,2,0,47.451468231282,-123.053742211538
"Diamond Point",2021,"Fukui","WDFW",2,21,0.0952380952380952,46.5052221595238,-123.981906458333
"Diamond Point",2021,"Minnow","WDFW",1,20,0.05,46.5052221595238,-123.981906458333
"Dike Island",2020,"Fukui","Padilla",0,13,0,48.466958,-122.480728
"Dike Island",2020,"Minnow","Padilla",0,13,0,48.466958,-122.480728
"Dike Island",2021,"Fukui","Padilla",0,20,0,48.466958,-122.480728
"Dike Island",2021,"Minnow","Padilla",0,69,0,48.466958,-122.480728
"Dike Island",2023,"Fukui","Padilla",0,52,0,48.466958,-122.480728
"Dike Island",2023,"Minnow","Padilla",1,52,0.0192307692307692,48.466958,-122.480728
"Dike Island",2024,"Fukui","Padilla",0,48,0,48.466958,-122.480728
"Dike Island",2024,"Minnow","Padilla",0,90,0,48.466958,-122.480728
"Discovery Bay",2016,"Fukui","WSG",0,4,0,47.9977512,-122.8825095
"Discovery Bay",2017,"Fukui","WSG",0,4,0,47.9977512,-122.8825095
"Discovery Bay",2018,"Fukui","WSG",0,4,0,47.9977512,-122.8825095
"Discovery Bay",2019,"Fukui","WSG",0,4,0,47.9977512,-122.8825095
"Discovery Bay",2020,"Fukui","WSG",0,4,0,47.9977512,-122.8825095
"Discovery Bay",2021,"Fukui","WSG",0,4,0,47.9977512,-122.8825095
"Discovery Bay",2022,"Fukui","WSG",0,4,0,47.9977512,-122.8825095
