"site","zone_id","zone"
"WDFW::Point Hudson Marina",6,"Zone 6"
"WDFW::Point Julia North",7,"Zone 7"
"WDFW::Point Whitney",8,"Zone 8"
"WDFW::Port Gamble",7,"Zone 7"
"WDFW::Port Ludlow Marina",7,"Zone 7"
"WDFW::Port Madison Yacht Club",7,"Zone 7"
"WDFW::Port of Kingston",7,"Zone 7"
"WDFW::Port of Poulsbo",7,"Zone 7"
"WDFW::Port Susan Bay",6,"Zone 6"
"WDFW::Portage Canal",6,"Zone 6"
"WDFW::Potlatch State Park",10,"Zone 10"
"WDFW::Pysht",1,"Zone 1"
"WDFW::Quartermaster Harbor",11,"Zone 11"
"WDFW::Races Cove",7,"Zone 7"
"WDFW::Rendsland",10,"Zone 10"
"WDFW::Right Smart Cove",8,"Zone 8"
"WDFW::Roche Harbor",3,"Zone 3"
"WDFW::Salmon Creek",5,"Zone 5"
"WDFW::Salt Creek",2,"Zone 2"
"WDFW::Samish River",4,"Zone 4"
"WDFW::Schel Chelb Lagoon",14,"Zone 14"
"WDFW::Scow Bay",6,"Zone 6"
"WDFW::Seabeck Conference Center Lagoon",9,"Zone 9"
"WDFW::Seabeck Marina",9,"Zone 9"
"WDFW::Sequim Bay - South",5,"Zone 5"
"WDFW::Shine Creek Estuary",7,"Zone 7"
"WDFW::Shine Tidelands",7,"Zone 7"
"WDFW::Skagit Bay Estuary",4,"Zone 4"
"WDFW::Skokomish Estuary",11,"Zone 11"
"WDFW::Skunk Island Lagoon",6,"Zone 6"
"WDFW::Snow Creek",5,"Zone 5"
"WDFW::South",4,"Zone 4"
"WDFW::Stavis Lagoon",9,"Zone 9"
"WDFW::Tahuya",10,"Zone 10"
"WDFW::Tarboo Creek",8,"Zone 8"
"WDFW::Taylor",4,"Zone 4"
"WDFW::Taylor Shellfish",4,"Zone 4"
"WDFW::Thorndyke",7,"Zone 7"
"WDFW::Tramp Harbor",11,"Zone 11"
"WDFW::Trestle Lagoon",5,"Zone 5"
"WDFW::Tulalip Bay",6,"Zone 6"
"WDFW::Twin Rivers",11,"Zone 11"
"WDFW::Walan Point",6,"Zone 6"
"WDFW::Washington Harbor",3,"Zone 3"
"WDFW::West Pass",6,"Zone 6"
"WDFW::Westcott Bay Marsh",3,"Zone 3"
"WDFW::White Point Lagoon",3,"Zone 3"
"WDFW::Winslow Wharf",14,"Zone 14"
"WDFW::Wolfe Property",7,"Zone 7"
