"site","zone_id","zone"
"WDFW::Linger Longer",8,"Zone 8"
"WDFW::Livingston Bay",6,"Zone 6"
"WDFW::Long Lagoon",5,"Zone 5"
"WDFW::Long Spit",8,"Zone 8"
"WDFW::Long's Lagoon",5,"Zone 5"
"WDFW::March's Point",4,"Zone 4"
"WDFW::Maynard Lagoon",5,"Zone 5"
"WDFW::McKinley Lagoon",2,"Zone 2"
"WDFW::Middle",4,"Zone 4"
"WDFW::Misery Point Lagoon",9,"Zone 9"
"WDFW::Mutiny Bay",6,"Zone 6"
"WDFW::Mystery Bay",6,"Zone 6"
"WDFW::Nick's Lagoon",9,"Zone 9"
"WDFW::Nisqually Reserve",11,"Zone 11"
"WDFW::North Quilcene Bay",8,"Zone 8"
"WDFW::Northeast",4,"Zone 4"
"WDFW::Northern Marsh",8,"Zone 8"
"WDFW::Oak Bay",6,"Zone 6"
"WDFW::Penn Cove",6,"Zone 6"
"WDFW::Point Hudson Marina",6,"Zone 6"
"WDFW::Point Julia North",7,"Zone 7"
"WDFW::Point Whitney",8,"Zone 8"
"WDFW::Port Gamble",7,"Zone 7"
"WDFW::Port Ludlow Marina",7,"Zone 7"
"WDFW::Port Madison Yacht Club",7,"Zone 7"
"WDFW::Port Susan Bay",6,"Zone 6"
"WDFW::Port of Kingston",7,"Zone 7"
"WDFW::Port of Poulsbo",7,"Zone 7"
"WDFW::Portage Canal",6,"Zone 6"
"WDFW::Potlatch State Park",10,"Zone 10"
"WDFW::Pysht",1,"Zone 1"
"WDFW::Quartermaster Harbor",11,"Zone 11"
"WDFW::Races Cove",7,"Zone 7"
"WDFW::Rendsland",10,"Zone 10"
"WDFW::Right Smart Cove",8,"Zone 8"
"WDFW::Roche Harbor",3,"Zone 3"
"WDFW::Salmon Creek",5,"Zone 5"
"WDFW::Salt Creek",2,"Zone 2"
"WDFW::Samish River",4,"Zone 4"
"WDFW::Schel Chelb Lagoon",14,"Zone 14"
"WDFW::Scow Bay",6,"Zone 6"
"WDFW::Seabeck Conference Center Lagoon",9,"Zone 9"
"WDFW::Seabeck Marina",9,"Zone 9"
"WDFW::Sequim Bay - South",5,"Zone 5"
"WDFW::Shine Creek Estuary",7,"Zone 7"
"WDFW::Shine Tidelands",7,"Zone 7"
"WDFW::Skagit Bay Estuary",4,"Zone 4"
"WDFW::Skokomish Estuary",11,"Zone 11"
"WDFW::Skunk Island Lagoon",6,"Zone 6"
"WDFW::Snow Creek",5,"Zone 5"
"WDFW::South",4,"Zone 4"
"WDFW::Stavis Lagoon",9,"Zone 9"
"WDFW::Tahuya",10,"Zone 10"
"WDFW::Tarboo Creek",8,"Zone 8"
"WDFW::Taylor",4,"Zone 4"
"WDFW::Taylor Shellfish",4,"Zone 4"
"WDFW::Thorndyke",7,"Zone 7"
"WDFW::Tramp Harbor",11,"Zone 11"
"WDFW::Trestle Lagoon",5,"Zone 5"
"WDFW::Tulalip Bay",6,"Zone 6"
"WDFW::Twin Rivers",11,"Zone 11"
"WDFW::Walan Point",6,"Zone 6"
"WDFW::Washington Harbor",3,"Zone 3"
"WDFW::West Pass",6,"Zone 6"
"WDFW::Westcott Bay Marsh",3,"Zone 3"
"WDFW::White Point Lagoon",3,"Zone 3"
"WDFW::Winslow Wharf",14,"Zone 14"
"WDFW::Wolfe Property",7,"Zone 7"
"WSG::Anderson Island",11,"Zone 11"
"WSG::Best Lagoon",12,"Zone 12"
"WSG::Butterball Cove",11,"Zone 11"
"WSG::Carpenter Creek",7,"Zone 7"
"WSG::Crandall Spit",4,"Zone 4"
"WSG::Cypress Island",4,"Zone 4"
"WSG::Davis Slough",6,"Zone 6"
"WSG::Discovery Bay",5,"Zone 5"
"WSG::Doe Kag Wats",7,"Zone 7"
"WSG::Double Cove",4,"Zone 4"
"WSG::Elger Bay",6,"Zone 6"
"WSG::Fidalgo Trestle",4,"Zone 4"
"WSG::Hancock Lake",6,"Zone 6"
"WSG::Harper",13,"Zone 13"
"WSG::Iverson Spit",6,"Zone 6"
"WSG::Kala Lagoon",6,"Zone 6"
"WSG::Kiana Lodge",7,"Zone 7"
"WSG::Kiket Lagoon",4,"Zone 4"
"WSG::Lagoon Point Community",6,"Zone 6"
"WSG::Lone Tree Lagoon",4,"Zone 4"
"WSG::Mud Bay",4,"Zone 4"
"WSG::Musqueti",10,"Zone 10"
"WSG::North Duckabush",9,"Zone 9"
"WSG::Point Heyer",11,"Zone 11"
"WSG::Point Julia",7,"Zone 7"
"WSG::Rabb's Lagoon",11,"Zone 11"
"WSG::Race Lagoon",6,"Zone 6"
"WSG::Sharpes Corner",4,"Zone 4"
"WSG::Shaw Island",4,"Zone 4"
"WSG::Spencer Spit",4,"Zone 4"
"WSG::Swinomish Channel",4,"Zone 4"
"WSG::Third Lagoon",3,"Zone 3"
"WSG::Titlow Lagoon",11,"Zone 11"
"WSG::Tsoo Yess",1,"Zone 1"
"WSG::Wa'atch",1,"Zone 1"
"WSG::Weavering Spit",4,"Zone 4"
"WSG::Westcott Bay",3,"Zone 3"
"WSG::Zelatched Point",8,"Zone 8"
