OBJECTID *,Shape *,Trap Type,Trap Number,StartLocationDate,EndLocationDate,Active,Latitude,Longitude,AllTrapLocations.GlobalID,TrapID,SiteName,LocationNotes,TrapID,CaptureDate,Sex,Width_mm,CarapColor,UnderColor,MoltStage,Gravid,Deposition,R Claw,R 1st Leg,R 2nd Leg,R 3rd Leg,R Back Leg,L Claw,L 1st Leg,L 2nd Leg,L 3rd Leg,L Back Leg,TrapEffort,EGCNotes,CrabID,All_EGCCaptures.OBJECTID
11,Point,Fukui,22,7/5/2017 9:14,7/7/2017 8:00,No,48.146451,-123.183745,{D36C13B5-F72B-83F1-09B3-A604A131C3C9},Fukui-22_7/5/17 9:14:03 AM,<Null>,,Fukui-22_7/5/17 9:14:03 AM,7/6/2017 9:20,Female,52,,Dark green,<Null>,No,Frozen,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,<Null>,<Null>,<Null>,16
12,Point,Fukui,18,7/10/2017 11:24,7/14/2017,No,48.173457,-123.137011,{C7FCD8E1-96FD-7FE4-1703-E7D25DF93EE2},Fukui-18_7/10/17 11:24:56 AM,<Null>,,Fukui-18_7/10/17 11:24:56 AM,7/14/2017 13:34,Male,65,,Light green,<Null>,<Null>,,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,<Null>,<Null>,<Null>,23
13,Point,Fukui,22,8/3/2017 9:31,8/4/2017,No,48.146492,-123.183788,{2A43C595-759C-3E40-8837-98316F9ADD7E},Fukui-22_8/3/17 9:31:13 AM,<Null>,,Fukui-22_8/3/17 9:31:13 AM,8/4/2017 9:12,Male,71,,Light green,<Null>,<Null>,Frozen,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,<Null>,<Null>,<Null>,24
14,Point,Fukui,17,8/21/2017 10:30,8/24/2017,No,48.174284,-123.137276,{330CCF23-13FC-C150-5035-655899FCE6F5},Fukui-17_8/21/17 10:30:45 AM,<Null>,,Fukui-17_8/21/17 10:30:45 AM,8/22/2017 11:57,Male,64,,Dark green,<Null>,<Null>,Frozen,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,<Null>,,<Null>,25
15,Point,Minnow,1,9/18/2017 8:11,9/21/2017,No,48.175414,-123.138988,{E52F1248-07CB-963C-D580-115175E19213},Minnow-1_9/18/17 8:11:07 AM,<Null>,,Minnow-1_9/18/17 8:11:07 AM,9/19/2017 9:00,Female,63,,Dark green,<Null>,No,,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,<Null>,,<Null>,26
17,Point,Fukui,25,9/18/2017 9:44,9/21/2017,No,48.146501,-123.183821,{70CCB55A-A56A-0F81-742F-4103B22BBFE7},Fukui-25_9/18/17 9:44:55 AM,<Null>,,Fukui-25_9/18/17 9:44:55 AM,9/19/2017 10:09,Female,67,,Dark green,<Null>,No,,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,<Null>,<Null>,<Null>,27
16,Point,Minnow,1,9/18/2017 8:11,9/21/2017,No,48.175414,-123.138988,{E52F1248-07CB-963C-D580-115175E19213},Minnow-1_9/18/17 8:11:07 AM,<Null>,,Minnow-1_9/18/17 8:11:07 AM,9/20/2017 9:53,Female,61,,Dark green,<Null>,No,frozen - usfws,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,<Null>,<Null>,<Null>,28
19,Point,Minnow,7,10/2/2017 8:05,10/5/2017,No,48.174579,-123.137981,{3C130523-AF93-6561-7BC7-3C5B5A70FA79},Minnow-7_10/2/17 8:05:36 AM,<Null>,,Minnow-7_10/2/17 8:05:36 AM,10/3/2017 8:05,Female,44,,Dark green,<Null>,No,Frozen,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,<Null>,<Null>,<Null>,29
20,Point,Fukui,14,10/2/2017 8:27,10/5/2017,No,48.175565,-123.138388,{7C72C81F-DF58-D830-189A-B465EDE3A76A},Fukui-14_10/2/17 8:27:24 AM,<Null>,,Fukui-14_10/2/17 8:27:24 AM,10/3/2017 10:36,Female,60,,Dark green,<Null>,No,Frozen,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,<Null>,<Null>,<Null>,30
18,Point,Minnow,6,10/2/2017 8:01,10/5/2017,No,48.1745,-123.13753,{3312217B-9019-0A5A-C7C9-B4767B9ACF91},Minnow-6_10/2/2017 8:01:39 AM,<Null>,,Minnow-6_10/2/2017 8:01:39 AM,10/4/2017 8:30,Male,67,,Red-orange,<Null>,<Null>,,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,<Null>,<Null>,<Null>,31
