Effort Type,Year,Month,Date Deployed,Location,Site Code,Trap Type,Trap Number,Bait Type,Latitude,Longitude,Date Retrieved,Count of EGC,Male,Female,Gravid,Comments
ON EFFORT,2018,April,4/25/2018,Tsoo-Yess River,TSOO,FUKUI,80,HERRING,48.31189,-124.65675,4/26/2018,0,,,0,
ON EFFORT,2018,April,4/25/2018,Tsoo-Yess River,TSOO,FUKUI,81,HERRING,48.31205,-124.65692,4/26/2018,0,,,0,
ON EFFORT,2018,April,4/25/2018,Tsoo-Yess River,TSOO,FUKUI,82,HERRING,48.31231,-124.6572,4/26/2018,0,,,0,
ON EFFORT,2018,April,4/25/2018,Tsoo-Yess River,TSOO,MINNOW,1,HERRING,48.31995,-124.65853,4/26/2018,0,,,0,
ON EFFORT,2018,April,4/25/2018,Tsoo-Yess River,TSOO,MINNOW,2,HERRING,48.3205,-124.65788,4/26/2018,8,,,0,
ON EFFORT,2018,April,4/25/2018,Tsoo-Yess River,TSOO,MINNOW,3,HERRING,48.32005,-124.65854,4/26/2018,0,,,0,
ON EFFORT,2018,April,4/25/2018,Tsoo-Yess River,TSOO,MINNOW,4,HERRING,48.3113,-124.65595,4/26/2018,0,,,0,
ON EFFORT,2018,April,4/25/2018,Tsoo-Yess River,TSOO,MINNOW,5,HERRING,48.31178,-124.65663,4/26/2018,0,,,0,
ON EFFORT,2018,April,4/25/2018,Tsoo-Yess River,TSOO,MINNOW,6,HERRING,48.31269,-124.65755,4/26/2018,0,,,0,
ON EFFORT,2018,April,4/25/2018,Tsoo-Yess River,TSOO,MINNOW,7,HERRING,48.32068,-124.65746,4/26/2018,0,,,0,
ON EFFORT,2018,April,4/25/2018,Tsoo-Yess River,TSOO,MINNOW,8,HERRING,48.31157,-124.6563,4/26/2018,0,,,0,
ON EFFORT,2018,April,4/25/2018,Tsoo-Yess River,TSOO,MINNOW,9,HERRING,48.31226,-124.65726,4/26/2018,0,,,0,
ON EFFORT,2018,April,4/25/2018,Tsoo-Yess River,TSOO,MINNOW,25,HERRING,48.32035,-124.6582,4/26/2018,0,,,0,
ON EFFORT,2018,April,4/25/2018,Tsoo-Yess River,TSOO,MINNOW,29,HERRING,48.3205,-124.65666,4/26/2018,0,,,0,
ON EFFORT,2018,April,4/25/2018,Wa'atch River,WAA,FUKUI,33,HERRING,48.351417,-124.6422,4/26/2018,0,,,0,
ON EFFORT,2018,April,4/25/2018,Wa'atch River,WAA,FUKUI,34,HERRING,48.349905,-124.645716,4/26/2018,0,,,0,
ON EFFORT,2018,April,4/25/2018,Wa'atch River,WAA,FUKUI,36,HERRING,48.350583,-124.644517,4/26/2018,0,,,0,
ON EFFORT,2018,April,4/25/2018,Wa'atch River,WAA,FUKUI,38,HERRING,48.350133,-124.645933,4/26/2018,0,,,0,
ON EFFORT,2018,April,4/25/2018,Wa'atch River,WAA,FUKUI,39,HERRING,48.351183,-124.641767,4/26/2018,0,,,0,
ON EFFORT,2018,April,4/25/2018,Wa'atch River,WAA,FUKUI,42,HERRING,48.34523,-124.66965,4/26/2018,0,,,0,
ON EFFORT,2018,April,4/25/2018,Wa'atch River,WAA,FUKUI,43,HERRING,48.34494,-124.6691,4/26/2018,0,,,0,
ON EFFORT,2018,April,4/25/2018,Wa'atch River,WAA,FUKUI,53,HERRING,48.34349,-124.6658,4/26/2018,0,,,0,
ON EFFORT,2018,April,4/25/2018,Wa'atch River,WAA,FUKUI,54,HERRING,48.3445,-124.66434,4/26/2018,0,,,0,
ON EFFORT,2018,April,4/25/2018,Wa'atch River,WAA,FUKUI,55,HERRING,48.34725,-124.66182,4/26/2018,0,,,0,
ON EFFORT,2018,April,4/25/2018,Wa'atch River,WAA,FUKUI,56,HERRING,48.34751,-124.66142,4/26/2018,0,,,0,
ON EFFORT,2018,April,4/25/2018,Wa'atch River,WAA,FUKUI,57,HERRING,48.34731,-124.66035,4/26/2018,0,,,0,
ON EFFORT,2018,April,4/25/2018,Wa'atch River,WAA,FUKUI,58,HERRING,48.34356,-124.66998,4/26/2018,0,,,0,
ON EFFORT,2018,April,4/25/2018,Wa'atch River,WAA,FUKUI,59,HERRING,48.34328,-124.66896,4/26/2018,0,,,0,
ON EFFORT,2018,April,4/25/2018,Wa'atch River,WAA,FUKUI,60,HERRING,48.34359,-124.66889,4/26/2018,0,,,0,
ON EFFORT,2018,April,4/25/2018,Wa'atch River,WAA,FUKUI,61,HERRING,48.34341,-124.66556,4/26/2018,0,,,0,
ON EFFORT,2018,April,4/25/2018,Wa'atch River,WAA,FUKUI,62,HERRING,48.34491,-124.66375,4/26/2018,0,,,0,
ON EFFORT,2018,April,4/25/2018,Wa'atch River,WAA,FUKUI,63,HERRING,48.34544,-124.67143,4/26/2018,0,,,0,
ON EFFORT,2018,April,4/25/2018,Wa'atch River,WAA,FUKUI,64,HERRING,48.34519,-124.66512,4/26/2018,0,,,0,
ON EFFORT,2018,April,4/25/2018,Wa'atch River,WAA,FUKUI,65,HERRING,48.3455,-124.67125,4/26/2018,0,,,0,
ON EFFORT,2018,April,4/25/2018,Wa'atch River,WAA,FUKUI,68,HERRING,48.35045,-124.644467,4/26/2018,0,,,0,
ON EFFORT,2018,April,4/25/2018,Wa'atch River,WAA,FUKUI,70,HERRING,48.350683,-124.644367,4/26/2018,0,,,0,
ON EFFORT,2018,April,4/25/2018,Wa'atch River,WAA,FUKUI,72,HERRING,48.35075,-124.6533,4/26/2018,0,,,0,
ON EFFORT,2018,April,4/25/2018,Wa'atch River,WAA,FUKUI,73,HERRING,48.351217,-124.650017,4/26/2018,0,,,0,
ON EFFORT,2018,April,4/25/2018,Wa'atch River,WAA,FUKUI,74,HERRING,48.351817,-124.646567,4/26/2018,0,,,0,
ON EFFORT,2018,April,4/25/2018,Wa'atch River,WAA,FUKUI,75,HERRING,48.35175,-124.64625,4/26/2018,0,,,0,
ON EFFORT,2018,April,4/25/2018,Wa'atch River,WAA,FUKUI,76,HERRING,48.3506,-124.6532,4/26/2018,0,,,0,
ON EFFORT,2018,April,4/25/2018,Wa'atch River,WAA,FUKUI,88,HERRING,48.34531,-124.6707,4/26/2018,1,,,0,
ON EFFORT,2018,April,4/25/2018,Wa'atch River,WAA,MINNOW,10,HERRING,48.34544,-124.6713,4/26/2018,0,,,0,
ON EFFORT,2018,April,4/25/2018,Wa'atch River,WAA,MINNOW,12,HERRING,48.34512,-124.66977,4/26/2018,0,,,0,
ON EFFORT,2018,April,4/25/2018,Wa'atch River,WAA,MINNOW,15,HERRING,48.34534,-124.67125,4/26/2018,0,,,0,
ON EFFORT,2018,April,4/25/2018,Wa'atch River,WAA,MINNOW,17,HERRING,48.34765,-124.66097,4/26/2018,0,,,0,
ON EFFORT,2018,April,4/25/2018,Wa'atch River,WAA,MINNOW,18,HERRING,48.34473,-124.66402,4/26/2018,0,,,0,
ON EFFORT,2018,April,4/25/2018,Wa'atch River,WAA,MINNOW,19,HERRING,48.34363,-124.66888,4/26/2018,0,,,0,
ON EFFORT,2018,April,4/25/2018,Wa'atch River,WAA,MINNOW,20,HERRING,48.34702,-124.66044,4/26/2018,0,,,0,
ON EFFORT,2018,April,4/25/2018,Wa'atch River,WAA,MINNOW,21,HERRING,48.34369,-124.66988,4/26/2018,0,,,0,
ON EFFORT,2018,April,4/25/2018,Wa'atch River,WAA,MINNOW,21,HERRING,48.34369,-124.66988,4/26/2018,0,,,0,
ON EFFORT,2018,April,4/25/2018,Wa'atch River,WAA,MINNOW,22,HERRING,48.34342,-124.67014,4/26/2018,0,,,0,
ON EFFORT,2018,April,4/25/2018,Wa'atch River,WAA,MINNOW,23,HERRING,48.34695,-124.66238,4/26/2018,0,,,0,
ON EFFORT,2018,April,4/25/2018,Wa'atch River,WAA,MINNOW,24,HERRING,48.34342,-124.66905,4/26/2018,0,,,0,
ON EFFORT,2018,April,4/25/2018,Wa'atch River,WAA,MINNOW,31,HERRING,48.351433,-124.649767,4/26/2018,0,,,0,
ON EFFORT,2018,April,4/25/2018,Wa'atch River,WAA,MINNOW,32,HERRING,48.350617,-124.653317,4/26/2018,0,,,0,
ON EFFORT,2018,April,4/25/2018,Wa'atch River,WAA,MINNOW,35,HERRING,48.3518,-124.646367,4/26/2018,0,,,0,
ON EFFORT,2018,April,4/25/2018,Wa'atch River,WAA,MINNOW,37,HERRING,48.351333,-124.649867,4/26/2018,0,,,0,
ON EFFORT,2018,April,4/25/2018,Wa'atch River,WAA,MINNOW,40,HERRING,48.350517,-124.64505,4/26/2018,0,,,0,
ON EFFORT,2018,April,4/25/2018,Wa'atch River,WAA,MINNOW,45,HERRING,48.34468,-124.66891,4/26/2018,0,,,0,
ON EFFORT,2018,April,4/25/2018,Wa'atch River,WAA,MINNOW,48,HERRING,48.34525,-124.66518,4/26/2018,0,,,0,
ON EFFORT,2018,April,4/25/2018,Wa'atch River,WAA,MINNOW,49,HERRING,48.34531,-124.66956,4/26/2018,0,,,0,
ON EFFORT,2018,April,4/25/2018,Wa'atch River,WAA,MINNOW,50,HERRING,48.34357,-124.66589,4/26/2018,0,,,0,
ON EFFORT,2018,April,4/25/2018,Wa'atch River,WAA,MINNOW,51,HERRING,48.3433,-124.66579,4/26/2018,0,,,0,
ON EFFORT,2018,April,4/25/2018,Wa'atch River,WAA,MINNOW,67,HERRING,48.35125,-124.6419,4/26/2018,0,,,0,
ON EFFORT,2018,April,4/25/2018,Wa'atch River,WAA,MINNOW,69,HERRING,48.350433,-124.645133,4/26/2018,0,,,0,
ON EFFORT,2018,April,4/25/2018,Wa'atch River,WAA,MINNOW,71,HERRING,48.350017,-124.64575,4/26/2018,0,,,0,
ON EFFORT,2018,April,4/26/2018,Neah Bay,NEB,FUKUI,83,HERRING,48.37494,-124.6284,4/27/2018,0,,,0,
ON EFFORT,2018,April,4/26/2018,Neah Bay,NEB,FUKUI,85,HERRING,48.37471,-124.6284,4/27/2018,0,,,0,
ON EFFORT,2018,April,4/26/2018,Neah Bay,NEB,FUKUI,86,HERRING,48.36969,-124.62308,4/27/2018,0,,,0,
ON EFFORT,2018,April,4/26/2018,Neah Bay,NEB,FUKUI,87,HERRING,48.36987,-124.62333,4/27/2018,0,,,0,
ON EFFORT,2018,April,4/26/2018,Neah Bay,NEB,MINNOW,11,HERRING,48.37492,-124.62839,4/27/2018,0,,,0,
ON EFFORT,2018,April,4/26/2018,Neah Bay,NEB,MINNOW,13,HERRING,48.37465,-124.62832,4/27/2018,0,,,0,
ON EFFORT,2018,April,4/26/2018,Neah Bay,NEB,MINNOW,14,HERRING,48.36955,-124.623,4/27/2018,0,,,0,
ON EFFORT,2018,April,4/26/2018,Neah Bay,NEB,MINNOW,16,HERRING,48.36981,-124.62315,4/27/2018,0,,,0,
ON EFFORT,2018,April,4/26/2018,Tsoo-Yess River,TSOO,FUKUI,26,HERRING,48.32063,-124.65649,4/27/2018,0,,,0,
ON EFFORT,2018,April,4/26/2018,Tsoo-Yess River,TSOO,FUKUI,27,HERRING,48.32065,-124.65789,4/27/2018,1,,,0,
ON EFFORT,2018,April,4/26/2018,Tsoo-Yess River,TSOO,FUKUI,28,HERRING,48.32108,-124.65702,4/27/2018,0,,,0,
ON EFFORT,2018,April,4/26/2018,Tsoo-Yess River,TSOO,FUKUI,41,HERRING,48.32066,-124.65699,4/27/2018,0,,,0,
ON EFFORT,2018,April,4/26/2018,Tsoo-Yess River,TSOO,FUKUI,78,HERRING,48.31136,-124.65598,4/27/2018,0,,,0,
ON EFFORT,2018,April,4/26/2018,Tsoo-Yess River,TSOO,FUKUI,79,HERRING,48.31159,-124.65635,4/27/2018,0,,,0,
ON EFFORT,2018,April,4/26/2018,Tsoo-Yess River,TSOO,FUKUI,80,HERRING,48.31189,-124.65675,4/27/2018,0,,,0,
ON EFFORT,2018,April,4/26/2018,Tsoo-Yess River,TSOO,FUKUI,81,HERRING,48.31205,-124.65692,4/27/2018,0,,,0,
ON EFFORT,2018,April,4/26/2018,Tsoo-Yess River,TSOO,FUKUI,82,HERRING,48.31231,-124.6572,4/27/2018,0,,,0,
ON EFFORT,2018,April,4/26/2018,Tsoo-Yess River,TSOO,MINNOW,1,HERRING,48.31995,-124.65853,4/27/2018,0,,,0,
ON EFFORT,2018,April,4/26/2018,Tsoo-Yess River,TSOO,MINNOW,2,HERRING,48.3205,-124.65788,4/27/2018,0,,,0,
ON EFFORT,2018,April,4/26/2018,Tsoo-Yess River,TSOO,MINNOW,3,HERRING,48.32005,-124.65854,4/27/2018,0,,,0,
ON EFFORT,2018,April,4/26/2018,Tsoo-Yess River,TSOO,MINNOW,4,HERRING,48.3113,-124.65595,4/27/2018,0,,,0,
ON EFFORT,2018,April,4/26/2018,Tsoo-Yess River,TSOO,MINNOW,5,HERRING,48.31178,-124.65663,4/27/2018,0,,,0,
ON EFFORT,2018,April,4/26/2018,Tsoo-Yess River,TSOO,MINNOW,6,HERRING,48.31269,-124.65755,4/27/2018,0,,,0,
ON EFFORT,2018,April,4/26/2018,Tsoo-Yess River,TSOO,MINNOW,7,HERRING,48.32068,-124.65746,4/27/2018,2,,,0,
ON EFFORT,2018,April,4/26/2018,Tsoo-Yess River,TSOO,MINNOW,8,HERRING,48.31157,-124.6563,4/27/2018,0,,,0,
ON EFFORT,2018,April,4/26/2018,Tsoo-Yess River,TSOO,MINNOW,9,HERRING,48.31226,-124.65726,4/27/2018,0,,,0,
ON EFFORT,2018,April,4/26/2018,Tsoo-Yess River,TSOO,MINNOW,25,HERRING,48.32035,-124.6582,4/27/2018,1,,,0,
ON EFFORT,2018,April,4/26/2018,Tsoo-Yess River,TSOO,MINNOW,29,HERRING,48.3205,-124.65666,4/27/2018,0,,,0,
ON EFFORT,2018,April,4/26/2018,Wa'atch River,WAA,FUKUI,33,HERRING,48.351417,-124.6422,4/27/2018,0,,,0,
ON EFFORT,2018,April,4/26/2018,Wa'atch River,WAA,FUKUI,34,HERRING,48.349905,-124.645716,4/27/2018,0,,,0,
ON EFFORT,2018,April,4/26/2018,Wa'atch River,WAA,FUKUI,36,HERRING,48.350583,-124.644517,4/27/2018,0,,,0,
ON EFFORT,2018,April,4/26/2018,Wa'atch River,WAA,FUKUI,38,HERRING,48.350133,-124.645933,4/27/2018,0,,,0,
ON EFFORT,2018,April,4/26/2018,Wa'atch River,WAA,FUKUI,39,HERRING,48.351183,-124.641767,4/27/2018,0,,,0,
ON EFFORT,2018,April,4/26/2018,Wa'atch River,WAA,FUKUI,42,HERRING,48.34523,-124.66965,4/27/2018,0,,,0,
ON EFFORT,2018,April,4/26/2018,Wa'atch River,WAA,FUKUI,43,HERRING,48.34494,-124.6691,4/27/2018,0,,,0,
ON EFFORT,2018,April,4/26/2018,Wa'atch River,WAA,FUKUI,53,HERRING,48.34349,-124.6658,4/27/2018,0,,,0,
ON EFFORT,2018,April,4/26/2018,Wa'atch River,WAA,FUKUI,54,HERRING,48.3445,-124.66434,4/27/2018,0,,,0,
ON EFFORT,2018,April,4/26/2018,Wa'atch River,WAA,FUKUI,55,HERRING,48.34725,-124.66182,4/27/2018,0,,,0,
ON EFFORT,2018,April,4/26/2018,Wa'atch River,WAA,FUKUI,56,HERRING,48.34751,-124.66142,4/27/2018,0,,,0,
ON EFFORT,2018,April,4/26/2018,Wa'atch River,WAA,FUKUI,57,HERRING,48.34731,-124.66035,4/27/2018,0,,,0,
ON EFFORT,2018,April,4/26/2018,Wa'atch River,WAA,FUKUI,58,HERRING,48.34356,-124.66998,4/27/2018,0,,,0,
ON EFFORT,2018,April,4/26/2018,Wa'atch River,WAA,FUKUI,59,HERRING,48.34328,-124.66896,4/27/2018,0,,,0,
ON EFFORT,2018,April,4/26/2018,Wa'atch River,WAA,FUKUI,60,HERRING,48.34359,-124.66889,4/27/2018,0,,,0,
ON EFFORT,2018,April,4/26/2018,Wa'atch River,WAA,FUKUI,61,HERRING,48.34341,-124.66556,4/27/2018,0,,,0,
ON EFFORT,2018,April,4/26/2018,Wa'atch River,WAA,FUKUI,62,HERRING,48.34491,-124.66375,4/27/2018,0,,,0,
ON EFFORT,2018,April,4/26/2018,Wa'atch River,WAA,FUKUI,63,HERRING,48.34544,-124.67143,4/27/2018,0,,,0,
ON EFFORT,2018,April,4/26/2018,Wa'atch River,WAA,FUKUI,64,HERRING,48.34519,-124.66512,4/27/2018,0,,,0,
ON EFFORT,2018,April,4/26/2018,Wa'atch River,WAA,FUKUI,65,HERRING,48.3455,-124.67125,4/27/2018,0,,,0,
ON EFFORT,2018,April,4/26/2018,Wa'atch River,WAA,FUKUI,68,HERRING,48.35045,-124.644467,4/27/2018,0,,,0,
ON EFFORT,2018,April,4/26/2018,Wa'atch River,WAA,FUKUI,70,HERRING,48.350683,-124.644367,4/27/2018,0,,,0,
ON EFFORT,2018,April,4/26/2018,Wa'atch River,WAA,FUKUI,72,HERRING,48.35075,-124.6533,4/27/2018,0,,,0,
ON EFFORT,2018,April,4/26/2018,Wa'atch River,WAA,FUKUI,73,HERRING,48.351217,-124.650017,4/27/2018,0,,,0,
ON EFFORT,2018,April,4/26/2018,Wa'atch River,WAA,FUKUI,74,HERRING,48.351817,-124.646567,4/27/2018,0,,,0,
ON EFFORT,2018,April,4/26/2018,Wa'atch River,WAA,FUKUI,75,HERRING,48.35175,-124.64625,4/27/2018,0,,,0,
ON EFFORT,2018,April,4/26/2018,Wa'atch River,WAA,FUKUI,76,HERRING,48.3506,-124.6532,4/27/2018,0,,,0,
ON EFFORT,2018,April,4/26/2018,Wa'atch River,WAA,FUKUI,88,HERRING,48.34531,-124.6707,4/27/2018,0,,,0,
ON EFFORT,2018,April,4/26/2018,Wa'atch River,WAA,MINNOW,10,HERRING,48.34544,-124.6713,4/27/2018,0,,,0,
ON EFFORT,2018,April,4/26/2018,Wa'atch River,WAA,MINNOW,12,HERRING,48.34512,-124.66977,4/27/2018,0,,,0,
ON EFFORT,2018,April,4/26/2018,Wa'atch River,WAA,MINNOW,15,HERRING,48.3453,-124.67124,4/27/2018,1,,,0,
ON EFFORT,2018,April,4/26/2018,Wa'atch River,WAA,MINNOW,17,HERRING,48.34765,-124.66097,4/27/2018,0,,,0,
ON EFFORT,2018,April,4/26/2018,Wa'atch River,WAA,MINNOW,18,HERRING,48.34473,-124.66402,4/27/2018,0,,,0,
ON EFFORT,2018,April,4/26/2018,Wa'atch River,WAA,MINNOW,19,HERRING,48.34363,-124.66888,4/27/2018,0,,,0,
ON EFFORT,2018,April,4/26/2018,Wa'atch River,WAA,MINNOW,20,HERRING,48.34702,-124.66044,4/27/2018,0,,,0,
ON EFFORT,2018,April,4/26/2018,Wa'atch River,WAA,MINNOW,22,HERRING,48.34342,-124.67014,4/27/2018,0,,,0,
ON EFFORT,2018,April,4/26/2018,Wa'atch River,WAA,MINNOW,23,HERRING,48.34695,-124.66238,4/27/2018,0,,,0,
ON EFFORT,2018,April,4/26/2018,Wa'atch River,WAA,MINNOW,24,HERRING,48.34342,-124.66905,4/27/2018,0,,,0,
ON EFFORT,2018,April,4/26/2018,Wa'atch River,WAA,MINNOW,31,HERRING,48.351433,-124.649767,4/27/2018,0,,,0,
ON EFFORT,2018,April,4/26/2018,Wa'atch River,WAA,MINNOW,32,HERRING,48.350617,-124.653317,4/27/2018,0,,,0,
ON EFFORT,2018,April,4/26/2018,Wa'atch River,WAA,MINNOW,35,HERRING,48.3518,-124.646367,4/27/2018,0,,,0,
ON EFFORT,2018,April,4/26/2018,Wa'atch River,WAA,MINNOW,37,HERRING,48.351333,-124.649867,4/27/2018,0,,,0,
ON EFFORT,2018,April,4/26/2018,Wa'atch River,WAA,MINNOW,40,HERRING,48.350517,-124.64505,4/27/2018,0,,,0,
ON EFFORT,2018,April,4/26/2018,Wa'atch River,WAA,MINNOW,45,HERRING,48.34468,-124.66891,4/27/2018,0,,,0,
ON EFFORT,2018,April,4/26/2018,Wa'atch River,WAA,MINNOW,48,HERRING,48.34525,-124.66518,4/27/2018,1,,,0,
ON EFFORT,2018,April,4/26/2018,Wa'atch River,WAA,MINNOW,49,HERRING,48.34531,-124.66956,4/27/2018,0,,,0,
ON EFFORT,2018,April,4/26/2018,Wa'atch River,WAA,MINNOW,50,HERRING,48.34357,-124.66589,4/27/2018,0,,,0,
ON EFFORT,2018,April,4/26/2018,Wa'atch River,WAA,MINNOW,51,HERRING,48.3433,-124.66579,4/27/2018,0,,,0,
ON EFFORT,2018,April,4/26/2018,Wa'atch River,WAA,MINNOW,67,HERRING,48.35125,-124.6419,4/27/2018,0,,,0,
ON EFFORT,2018,April,4/26/2018,Wa'atch River,WAA,MINNOW,69,HERRING,48.350433,-124.645133,4/27/2018,0,,,0,
ON EFFORT,2018,April,4/26/2018,Wa'atch River,WAA,MINNOW,71,HERRING,48.350017,-124.64575,4/27/2018,0,,,0,
ON EFFORT,2018,May,5/9/2018,Neah Bay,NEB,FUKUI,53,HERRING,48.36969,-124.62358,5/10/2018,0,,,0,
ON EFFORT,2018,May,5/9/2018,Neah Bay,NEB,FUKUI,59,HERRING,48.37473,-124.62868,5/10/2018,0,,,0,
ON EFFORT,2018,May,5/9/2018,Neah Bay,NEB,FUKUI,61,HERRING,48.36978,-124.62375,5/10/2018,0,,,0,
ON EFFORT,2018,May,5/9/2018,Neah Bay,NEB,FUKUI,65,HERRING,48.37512,-124.62877,5/10/2018,0,,,0,
ON EFFORT,2018,May,5/9/2018,Neah Bay,NEB,MINNOW,3,HERRING,48.37486,-124.62862,5/10/2018,0,,,0,
ON EFFORT,2018,May,5/9/2018,Neah Bay,NEB,MINNOW,10,HERRING,48.37463,-124.62868,5/10/2018,0,,,0,
ON EFFORT,2018,May,5/9/2018,Neah Bay,NEB,MINNOW,13,HERRING,48.36941,-124.62328,5/10/2018,0,,,0,
ON EFFORT,2018,May,5/9/2018,Neah Bay,NEB,MINNOW,39,HERRING,48.3695,-124.62347,5/10/2018,0,,,0,
ON EFFORT,2018,May,5/9/2018,Tsoo-Yess River,TSOO,FUKUI,7,HERRING,48.32061,-124.65704,5/10/2018,1,,,0,
ON EFFORT,2018,May,5/9/2018,Tsoo-Yess River,TSOO,FUKUI,28,HERRING,48.32045,-124.65878,5/10/2018,0,,,0,
ON EFFORT,2018,May,5/9/2018,Tsoo-Yess River,TSOO,FUKUI,52,HERRING,48.31137,-124.65661,5/10/2018,0,,,0,
ON EFFORT,2018,May,5/9/2018,Tsoo-Yess River,TSOO,FUKUI,55,HERRING,48.32082,-124.65651,5/10/2018,1,,,0,
ON EFFORT,2018,May,5/9/2018,Tsoo-Yess River,TSOO,FUKUI,60,HERRING,48.3208,-124.65708,5/10/2018,0,,,0,
ON EFFORT,2018,May,5/9/2018,Tsoo-Yess River,TSOO,FUKUI,66,HERRING,48.31128,-124.65603,5/10/2018,0,,,0,
ON EFFORT,2018,May,5/9/2018,Tsoo-Yess River,TSOO,FUKUI,70,HERRING,48.32045,-124.65748,5/10/2018,2,,,0,
ON EFFORT,2018,May,5/9/2018,Tsoo-Yess River,TSOO,FUKUI,79,HERRING,48.32023,-124.65864,5/10/2018,1,,,0,
ON EFFORT,2018,May,5/9/2018,Tsoo-Yess River,TSOO,FUKUI,83,HERRING,48.32045,-124.6582,5/10/2018,2,,,0,
ON EFFORT,2018,May,5/9/2018,Tsoo-Yess River,TSOO,FUKUI,88,HERRING,48.3205,-124.65759,5/10/2018,0,,,0,
ON EFFORT,2018,May,5/9/2018,Tsoo-Yess River,TSOO,MINNOW,2,HERRING,48.31118,-124.65604,5/10/2018,0,,,0,
ON EFFORT,2018,May,5/9/2018,Tsoo-Yess River,TSOO,MINNOW,17,HERRING,48.31142,-124.6565,5/10/2018,0,,,0,
ON EFFORT,2018,May,5/9/2018,Tsoo-Yess River,TSOO,MINNOW,20,HERRING,48.32031,-124.65803,5/10/2018,4,,,0,
ON EFFORT,2018,May,5/9/2018,Tsoo-Yess River,TSOO,MINNOW,23,HERRING,48.32011,-124.65862,5/10/2018,0,,,0,
ON EFFORT,2018,May,5/9/2018,Tsoo-Yess River,TSOO,MINNOW,24,HERRING,48.32039,-124.65809,5/10/2018,6,,,0,
ON EFFORT,2018,May,5/9/2018,Tsoo-Yess River,TSOO,MINNOW,30,HERRING,48.32053,-124.65747,5/10/2018,2,,,0,
ON EFFORT,2018,May,5/9/2018,Tsoo-Yess River,TSOO,MINNOW,33,HERRING,48.32044,-124.65685,5/10/2018,1,,,0,
ON EFFORT,2018,May,5/9/2018,Tsoo-Yess River,TSOO,MINNOW,36,HERRING,48.32089,-124.65647,5/10/2018,1,,,0,
ON EFFORT,2018,May,5/9/2018,Tsoo-Yess River,TSOO,MINNOW,40,HERRING,48.32061,-124.65755,5/10/2018,3,,,0,
ON EFFORT,2018,May,5/9/2018,Tsoo-Yess River,TSOO,MINNOW,44,HERRING,48.32091,-124.65721,5/10/2018,1,,,0,
ON EFFORT,2018,May,5/9/2018,Wa'atch River,WAA,FUKUI,25,HERRING,48.35075,-124.64428,5/10/2018,0,,,0,
ON EFFORT,2018,May,5/9/2018,Wa'atch River,WAA,FUKUI,26,HERRING,48.34731,-124.66191,5/10/2018,0,,,0,
ON EFFORT,2018,May,5/9/2018,Wa'atch River,WAA,FUKUI,27,HERRING,48.34352,-124.66905,5/10/2018,0,,,0,
ON EFFORT,2018,May,5/9/2018,Wa'atch River,WAA,FUKUI,41,HERRING,48.34703,-124.66225,5/10/2018,0,,,0,
ON EFFORT,2018,May,5/9/2018,Wa'atch River,WAA,FUKUI,43,HERRING,48.35058,-124.65319,5/10/2018,0,,,0,
ON EFFORT,2018,May,5/9/2018,Wa'atch River,WAA,FUKUI,54,HERRING,48.34532,-124.67125,5/10/2018,0,,,0,
