Year,Month,Trap_Type,Location,Effort,Catch,Latitude,Longitude
2021,August,Minnow,Big Indian Slough Mouth,54,0,48.468352,-122.47419
2021,September,Fukui,Big Indian Slough Mouth,7,0,48.468352,-122.47419
2021,September,Minnow,Big Indian Slough Mouth,8,0,48.468352,-122.47419
2021,October,Fukui,Big Indian Slough Mouth,30,0,48.468352,-122.47419
2021,October,Minnow,Big Indian Slough Mouth,30,0,48.468352,-122.47419
2022,May,Fukui,Big Indian Slough Mouth,12,0,48.468352,-122.47419
2022,May,Minnow,Big Indian Slough Mouth,6,0,48.468352,-122.47419
2022,May,Shrimp,Big Indian Slough Mouth,4,0,48.468352,-122.47419
2022,June,Fukui,Big Indian Slough Mouth,14,0,48.468352,-122.47419
2022,June,Minnow,Big Indian Slough Mouth,14,0,48.468352,-122.47419
2022,June,Shrimp,Big Indian Slough Mouth,6,0,48.468352,-122.47419
2022,August,Fukui,Big Indian Slough Mouth,3,0,48.468352,-122.47419
2022,August,Minnow,Big Indian Slough Mouth,3,0,48.468352,-122.47419
2022,October,Fukui,Big Indian Slough Mouth,13,0,48.468352,-122.47419
2022,October,Minnow,Big Indian Slough Mouth,12,0,48.468352,-122.47419
2022,October,Shrimp,Big Indian Slough Mouth,5,0,48.468352,-122.47419
2023,March,Shrimp,Big Indian Slough Mouth,12,0,48.468352,-122.47419
2023,April,Fukui,Big Indian Slough Mouth,54,0,48.468352,-122.47419
2023,April,Minnow,Big Indian Slough Mouth,54,0,48.468352,-122.47419
2023,April,Shrimp,Big Indian Slough Mouth,30,0,48.468352,-122.47419
2023,June,Fukui,Big Indian Slough Mouth,41,1,48.468352,-122.47419
2023,June,Minnow,Big Indian Slough Mouth,40,0,48.468352,-122.47419
2023,June,Shrimp,Big Indian Slough Mouth,11,0,48.468352,-122.47419
2023,September,Fukui,Big Indian Slough Mouth,45,0,48.468352,-122.47419
2023,September,Minnow,Big Indian Slough Mouth,45,0,48.468352,-122.47419
2023,September,Shrimp,Big Indian Slough Mouth,12,0,48.468352,-122.47419
2024,June,Fukui,Big Indian Slough Mouth,52,0,48.468352,-122.47419
2024,June,Minnow,Big Indian Slough Mouth,80,1,48.468352,-122.47419
2024,June,Shrimp,Big Indian Slough Mouth,20,3,48.468352,-122.47419
2024,July,Fukui,Big Indian Slough Mouth,11,1,48.468352,-122.47419
2024,July,Minnow,Big Indian Slough Mouth,22,0,48.468352,-122.47419
2024,July,Shrimp,Big Indian Slough Mouth,12,0,48.468352,-122.47419
2024,August,Fukui,Big Indian Slough Mouth,31,0,48.468352,-122.47419
2024,August,Minnow,Big Indian Slough Mouth,62,0,48.468352,-122.47419
2024,August,Shrimp,Big Indian Slough Mouth,8,0,48.468352,-122.47419
2024,October,Fukui,Big Indian Slough Mouth,5,0,48.468352,-122.47419
2024,October,Minnow,Big Indian Slough Mouth,15,1,48.468352,-122.47419
2020,September,Fukui,Dike Island,13,0,48.466958,-122.480728
2020,September,Minnow,Dike Island,13,0,48.466958,-122.480728
2021,September,Fukui,Dike Island,20,0,48.466958,-122.480728
2021,September,Minnow,Dike Island,69,0,48.466958,-122.480728
2023,July,Fukui,Dike Island,52,0,48.466958,-122.480728
2023,July,Minnow,Dike Island,52,1,48.466958,-122.480728
2024,July,Fukui,Dike Island,48,0,48.466958,-122.480728
2024,July,Minnow,Dike Island,90,0,48.466958,-122.480728
2022,November,Shrimp,Dot and Ploeg Channels,20,0,48.548519,-122.512672
2023,June,Shrimp,Hat Island,9,0,48.52113,-122.544411
2019,April,Fukui,Interpretive Center,3,0,48.496452,-122.483923
2019,April,Minnow,Interpretive Center,3,0,48.496452,-122.483923
2020,May,Fukui,Interpretive Center,3,0,48.496452,-122.483923
2020,May,Minnow,Interpretive Center,3,0,48.496452,-122.483923
2021,May,Fukui,Interpretive Center,3,0,48.496452,-122.483923
2021,May,Minnow,Interpretive Center,3,0,48.496452,-122.483923
2022,June,Fukui,Interpretive Center,3,0,48.496452,-122.483923
2022,June,Minnow,Interpretive Center,3,0,48.496452,-122.483923
2023,December,Shrimp,Joe Leary Mouth,20,0,48.520933,-122.483184
2024,February,Shrimp,Joe Leary Mouth,10,0,48.520933,-122.483184
2020,August,Fukui,Joe Leary to West 90 South,1,0,48.524338,-122.484516
2020,August,Minnow,Joe Leary to West 90 South,1,0,48.524338,-122.484516
2020,September,Fukui,Joe Leary to West 90 South,32,0,48.524338,-122.484516
2020,September,Minnow,Joe Leary to West 90 South,37,2,48.524338,-122.484516
2020,July,Fukui,Marsh Island,60,2,48.560199,-122.486048
2020,July,Minnow,Marsh Island,90,1,48.560199,-122.486048
2020,September,Fukui,Marsh Island,9,0,48.560199,-122.486048
2020,September,Minnow,Marsh Island,10,0,48.560199,-122.486048
2023,May,Fukui,North Alice Bay,29,0,48.563464,-122.494413
2023,May,Minnow,North Alice Bay,29,0,48.563464,-122.494413
2024,May,Fukui,North Alice Bay,75,0,48.563464,-122.494413
2024,May,Minnow,North Alice Bay,75,0,48.563464,-122.494413
2021,September,Fukui,Samish Conservation Area,14,2,48.561896,-122.502636
2021,September,Minnow,Samish Conservation Area,34,0,48.561896,-122.502636
2023,June,Fukui,Samish Conservation Area,103,0,48.561896,-122.502636
2023,June,Minnow,Samish Conservation Area,110,9,48.561896,-122.502636
2023,August,Fukui,Samish Conservation Area,45,0,48.561896,-122.502636
2023,August,Minnow,Samish Conservation Area,45,4,48.561896,-122.502636
2023,September,Fukui,Samish Conservation Area,30,0,48.561896,-122.502636
2023,September,Minnow,Samish Conservation Area,30,0,48.561896,-122.502636
2024,April,Fukui,Samish Conservation Area,45,0,48.561896,-122.502636
2024,April,Minnow,Samish Conservation Area,45,0,48.561896,-122.502636
2024,May,Fukui,Samish Conservation Area,16,0,48.561896,-122.502636
2024,May,Minnow,Samish Conservation Area,32,1,48.561896,-122.502636
2024,July,Fukui,Samish Conservation Area,30,0,48.561896,-122.502636
2024,July,Minnow,Samish Conservation Area,60,1,48.561896,-122.502636
2024,August,Fukui,Samish Conservation Area,18,0,48.561896,-122.502636
2024,August,Minnow,Samish Conservation Area,40,14,48.561896,-122.502636
2024,September,Fukui,Samish Conservation Area,10,3,48.561896,-122.502636
2024,September,Minnow,Samish Conservation Area,20,21,48.561896,-122.502636
2024,October,Fukui,Samish Conservation Area,48,1,48.561896,-122.502636
2024,October,Minnow,Samish Conservation Area,100,40,48.561896,-122.502636
2020,September,Fukui,Samish River,5,0,48.555738,-122.459106
2020,September,Minnow,Samish River,7,0,48.555738,-122.459106
2018,April,Fukui,Shore Trail,3,0,48.472686,-122.470454
2018,April,Minnow,Shore Trail,3,0,48.472686,-122.470454
2018,May,Fukui,Shore Trail,3,0,48.472686,-122.470454
2018,May,Minnow,Shore Trail,3,0,48.472686,-122.470454
2018,June,Fukui,Shore Trail,3,0,48.472686,-122.470454
2018,June,Minnow,Shore Trail,3,0,48.472686,-122.470454
2018,July,Fukui,Shore Trail,3,0,48.472686,-122.470454
2018,July,Minnow,Shore Trail,3,0,48.472686,-122.470454
2018,August,Fukui,Shore Trail,3,0,48.472686,-122.470454
2018,August,Minnow,Shore Trail,3,0,48.472686,-122.470454
2018,September,Fukui,Shore Trail,3,0,48.472686,-122.470454
2018,September,Minnow,Shore Trail,3,0,48.472686,-122.470454
2019,April,Fukui,Shore Trail,3,0,48.472686,-122.470454
2019,April,Minnow,Shore Trail,3,0,48.472686,-122.470454
2019,May,Fukui,Shore Trail,3,0,48.472686,-122.470454
2019,May,Minnow,Shore Trail,3,0,48.472686,-122.470454
2019,June,Fukui,Shore Trail,3,0,48.472686,-122.470454
2019,June,Minnow,Shore Trail,3,0,48.472686,-122.470454
2019,July,Fukui,Shore Trail,3,0,48.472686,-122.470454
2019,July,Minnow,Shore Trail,3,0,48.472686,-122.470454
2019,August,Fukui,Shore Trail,3,0,48.472686,-122.470454
2019,August,Minnow,Shore Trail,3,0,48.472686,-122.470454
2019,September,Fukui,Shore Trail,3,0,48.472686,-122.470454
2019,September,Minnow,Shore Trail,3,0,48.472686,-122.470454
2020,May,Fukui,Shore Trail,3,0,48.472686,-122.470454
2020,May,Minnow,Shore Trail,3,0,48.472686,-122.470454
2020,June,Fukui,Shore Trail,3,0,48.472686,-122.470454
2020,June,Minnow,Shore Trail,3,0,48.472686,-122.470454
2020,July,Fukui,Shore Trail,3,0,48.472686,-122.470454
2020,July,Minnow,Shore Trail,3,0,48.472686,-122.470454
2020,August,Fukui,Shore Trail,3,0,48.472686,-122.470454
2020,August,Minnow,Shore Trail,3,0,48.472686,-122.470454
2020,September,Fukui,Shore Trail,5,0,48.472686,-122.470454
2020,September,Minnow,Shore Trail,13,0,48.472686,-122.470454
2021,April,Fukui,Shore Trail,3,0,48.472686,-122.470454
2021,April,Minnow,Shore Trail,3,0,48.472686,-122.470454
2021,May,Fukui,Shore Trail,3,0,48.472686,-122.470454
2021,May,Minnow,Shore Trail,3,0,48.472686,-122.470454
2021,June,Fukui,Shore Trail,3,0,48.472686,-122.470454
2021,June,Minnow,Shore Trail,17,0,48.472686,-122.470454
2021,July,Fukui,Shore Trail,3,0,48.472686,-122.470454
2021,July,Minnow,Shore Trail,3,0,48.472686,-122.470454
2021,August,Fukui,Shore Trail,3,0,48.472686,-122.470454
2021,August,Minnow,Shore Trail,3,0,48.472686,-122.470454
2021,September,Fukui,Shore Trail,3,0,48.472686,-122.470454
2021,September,Minnow,Shore Trail,3,0,48.472686,-122.470454
2022,April,Fukui,Shore Trail,3,0,48.472686,-122.470454
2022,April,Minnow,Shore Trail,3,0,48.472686,-122.470454
2022,May,Fukui,Shore Trail,3,0,48.472686,-122.470454
2022,May,Minnow,Shore Trail,3,0,48.472686,-122.470454
2022,June,Fukui,Shore Trail,3,0,48.472686,-122.470454
2022,June,Minnow,Shore Trail,3,0,48.472686,-122.470454
2022,July,Fukui,Shore Trail,3,0,48.472686,-122.470454
2022,July,Minnow,Shore Trail,3,0,48.472686,-122.470454
2022,August,Fukui,Shore Trail,3,0,48.472686,-122.470454
2022,August,Minnow,Shore Trail,3,0,48.472686,-122.470454
2022,September,Fukui,Shore Trail,3,0,48.472686,-122.470454
2022,September,Minnow,Shore Trail,3,0,48.472686,-122.470454
2023,April,Fukui,Shore Trail,117,1,48.472686,-122.470454
2023,April,Minnow,Shore Trail,115,2,48.472686,-122.470454
2023,April,Shrimp,Shore Trail,20,0,48.472686,-122.470454
2023,May,Fukui,Shore Trail,3,0,48.472686,-122.470454
2023,May,Minnow,Shore Trail,3,0,48.472686,-122.470454
2023,June,Fukui,Shore Trail,29,2,48.472686,-122.470454
2023,June,Minnow,Shore Trail,29,0,48.472686,-122.470454
2023,June,Shrimp,Shore Trail,4,2,48.472686,-122.470454
2023,July,Fukui,Shore Trail,13,0,48.472686,-122.470454
2023,July,Minnow,Shore Trail,13,0,48.472686,-122.470454
2023,July,Shrimp,Shore Trail,4,2,48.472686,-122.470454
2023,August,Fukui,Shore Trail,23,0,48.472686,-122.470454
2023,August,Minnow,Shore Trail,23,0,48.472686,-122.470454
2023,August,Shrimp,Shore Trail,4,0,48.472686,-122.470454
2023,September,Fukui,Shore Trail,13,0,48.472686,-122.470454
2023,September,Minnow,Shore Trail,13,0,48.472686,-122.470454
2023,September,Shrimp,Shore Trail,6,0,48.472686,-122.470454
2023,October,Fukui,Shore Trail,26,0,48.472686,-122.470454
2023,October,Minnow,Shore Trail,26,0,48.472686,-122.470454
2023,October,Shrimp,Shore Trail,3,0,48.472686,-122.470454
2024,March,Fukui,Shore Trail,26,0,48.472686,-122.470454
2024,March,Minnow,Shore Trail,26,0,48.472686,-122.470454
2024,March,Shrimp,Shore Trail,12,0,48.472686,-122.470454
2024,April,Fukui,Shore Trail,3,0,48.472686,-122.470454
2024,April,Minnow,Shore Trail,3,0,48.472686,-122.470454
2024,May,Fukui,Shore Trail,3,0,48.472686,-122.470454
2024,May,Minnow,Shore Trail,3,0,48.472686,-122.470454
2024,June,Fukui,Shore Trail,3,0,48.472686,-122.470454
2024,June,Minnow,Shore Trail,3,0,48.472686,-122.470454
2024,July,Fukui,Shore Trail,25,0,48.472686,-122.470454
2024,July,Minnow,Shore Trail,47,0,48.472686,-122.470454
2024,July,Shrimp,Shore Trail,6,0,48.472686,-122.470454
2024,August,Fukui,Shore Trail,3,0,48.472686,-122.470454
2024,August,Minnow,Shore Trail,3,0,48.472686,-122.470454
2024,August,Shrimp,Shore Trail,6,0,48.472686,-122.470454
2024,September,Fukui,Shore Trail,3,0,48.472686,-122.470454
2024,September,Minnow,Shore Trail,3,0,48.472686,-122.470454
2024,October,Fukui,Shore Trail,6,0,48.472686,-122.470454
2024,October,Minnow,Shore Trail,14,1,48.472686,-122.470454
2018,April,Fukui,Sullivan Minor and Oswald's,3,0,48.502451,-122.484847
2018,April,Minnow,Sullivan Minor and Oswald's,3,0,48.502451,-122.484847
2018,May,Fukui,Sullivan Minor and Oswald's,3,0,48.502451,-122.484847
2018,May,Minnow,Sullivan Minor and Oswald's,3,0,48.502451,-122.484847
2018,June,Fukui,Sullivan Minor and Oswald's,3,0,48.502451,-122.484847
2018,June,Minnow,Sullivan Minor and Oswald's,3,0,48.502451,-122.484847
2018,July,Fukui,Sullivan Minor and Oswald's,3,0,48.502451,-122.484847
2018,July,Minnow,Sullivan Minor and Oswald's,3,0,48.502451,-122.484847
2018,August,Fukui,Sullivan Minor and Oswald's,3,0,48.502451,-122.484847
2018,August,Minnow,Sullivan Minor and Oswald's,3,0,48.502451,-122.484847
2018,September,Fukui,Sullivan Minor and Oswald's,3,0,48.502451,-122.484847
2018,September,Minnow,Sullivan Minor and Oswald's,3,0,48.502451,-122.484847
2019,April,Fukui,Sullivan Minor and Oswald's,3,0,48.502451,-122.484847
2019,April,Minnow,Sullivan Minor and Oswald's,3,0,48.502451,-122.484847
2019,May,Fukui,Sullivan Minor and Oswald's,3,0,48.502451,-122.484847
2019,May,Minnow,Sullivan Minor and Oswald's,3,0,48.502451,-122.484847
2019,June,Fukui,Sullivan Minor and Oswald's,3,0,48.502451,-122.484847
2019,June,Minnow,Sullivan Minor and Oswald's,3,0,48.502451,-122.484847
2019,July,Fukui,Sullivan Minor and Oswald's,3,0,48.502451,-122.484847
2019,July,Minnow,Sullivan Minor and Oswald's,3,0,48.502451,-122.484847
2019,August,Fukui,Sullivan Minor and Oswald's,3,0,48.502451,-122.484847
2019,August,Minnow,Sullivan Minor and Oswald's,3,0,48.502451,-122.484847
2019,September,Fukui,Sullivan Minor and Oswald's,3,0,48.502451,-122.484847
2019,September,Minnow,Sullivan Minor and Oswald's,3,0,48.502451,-122.484847
2020,May,Fukui,Sullivan Minor and Oswald's,3,0,48.502451,-122.484847
2020,May,Minnow,Sullivan Minor and Oswald's,3,0,48.502451,-122.484847
2020,June,Fukui,Sullivan Minor and Oswald's,3,0,48.502451,-122.484847
2020,June,Minnow,Sullivan Minor and Oswald's,3,0,48.502451,-122.484847
2020,July,Fukui,Sullivan Minor and Oswald's,3,0,48.502451,-122.484847
2020,July,Minnow,Sullivan Minor and Oswald's,3,0,48.502451,-122.484847
2020,August,Fukui,Sullivan Minor and Oswald's,3,0,48.502451,-122.484847
2020,August,Minnow,Sullivan Minor and Oswald's,3,0,48.502451,-122.484847
2020,September,Fukui,Sullivan Minor and Oswald's,18,0,48.502451,-122.484847
2020,September,Minnow,Sullivan Minor and Oswald's,22,0,48.502451,-122.484847
2021,April,Fukui,Sullivan Minor and Oswald's,3,0,48.502451,-122.484847
2021,April,Minnow,Sullivan Minor and Oswald's,3,0,48.502451,-122.484847
2021,May,Fukui,Sullivan Minor and Oswald's,3,0,48.502451,-122.484847
2021,May,Minnow,Sullivan Minor and Oswald's,3,0,48.502451,-122.484847
2021,June,Fukui,Sullivan Minor and Oswald's,3,0,48.502451,-122.484847
2021,June,Minnow,Sullivan Minor and Oswald's,3,0,48.502451,-122.484847
2021,July,Fukui,Sullivan Minor and Oswald's,3,0,48.502451,-122.484847
2021,July,Minnow,Sullivan Minor and Oswald's,3,0,48.502451,-122.484847
2021,August,Fukui,Sullivan Minor and Oswald's,3,0,48.502451,-122.484847
2021,August,Minnow,Sullivan Minor and Oswald's,3,0,48.502451,-122.484847
2021,September,Fukui,Sullivan Minor and Oswald's,3,0,48.502451,-122.484847
2021,September,Minnow,Sullivan Minor and Oswald's,3,0,48.502451,-122.484847
2022,April,Fukui,Sullivan Minor and Oswald's,3,0,48.502451,-122.484847
2022,April,Minnow,Sullivan Minor and Oswald's,3,0,48.502451,-122.484847
2022,May,Fukui,Sullivan Minor and Oswald's,3,0,48.502451,-122.484847
2022,May,Minnow,Sullivan Minor and Oswald's,3,0,48.502451,-122.484847
2022,June,Fukui,Sullivan Minor and Oswald's,3,0,48.502451,-122.484847
2022,June,Minnow,Sullivan Minor and Oswald's,3,0,48.502451,-122.484847
2022,July,Fukui,Sullivan Minor and Oswald's,3,0,48.502451,-122.484847
2022,July,Minnow,Sullivan Minor and Oswald's,3,0,48.502451,-122.484847
2022,August,Fukui,Sullivan Minor and Oswald's,3,0,48.502451,-122.484847
2022,August,Minnow,Sullivan Minor and Oswald's,3,0,48.502451,-122.484847
2022,September,Fukui,Sullivan Minor and Oswald's,3,0,48.502451,-122.484847
2022,September,Minnow,Sullivan Minor and Oswald's,3,0,48.502451,-122.484847
2023,April,Fukui,Sullivan Minor and Oswald's,3,0,48.502451,-122.484847
2023,April,Minnow,Sullivan Minor and Oswald's,3,0,48.502451,-122.484847
2023,May,Fukui,Sullivan Minor and Oswald's,3,0,48.502451,-122.484847
2023,May,Minnow,Sullivan Minor and Oswald's,3,0,48.502451,-122.484847
2023,June,Fukui,Sullivan Minor and Oswald's,3,0,48.502451,-122.484847
2023,June,Minnow,Sullivan Minor and Oswald's,3,0,48.502451,-122.484847
2023,July,Fukui,Sullivan Minor and Oswald's,3,0,48.502451,-122.484847
2023,July,Minnow,Sullivan Minor and Oswald's,3,0,48.502451,-122.484847
2023,August,Fukui,Sullivan Minor and Oswald's,51,0,48.502451,-122.484847
2023,August,Minnow,Sullivan Minor and Oswald's,51,1,48.502451,-122.484847
2023,August,Shrimp,Sullivan Minor and Oswald's,6,0,48.502451,-122.484847
2023,September,Fukui,Sullivan Minor and Oswald's,3,0,48.502451,-122.484847
2023,September,Minnow,Sullivan Minor and Oswald's,3,0,48.502451,-122.484847
2024,April,Fukui,Sullivan Minor and Oswald's,3,0,48.502451,-122.484847
2024,April,Minnow,Sullivan Minor and Oswald's,3,0,48.502451,-122.484847
2024,May,Fukui,Sullivan Minor and Oswald's,3,0,48.502451,-122.484847
2024,May,Minnow,Sullivan Minor and Oswald's,3,0,48.502451,-122.484847
2024,June,Fukui,Sullivan Minor and Oswald's,3,0,48.502451,-122.484847
2024,June,Minnow,Sullivan Minor and Oswald's,3,0,48.502451,-122.484847
2024,July,Fukui,Sullivan Minor and Oswald's,3,0,48.502451,-122.484847
2024,July,Minnow,Sullivan Minor and Oswald's,3,0,48.502451,-122.484847
2024,August,Fukui,Sullivan Minor and Oswald's,3,0,48.502451,-122.484847
2024,August,Minnow,Sullivan Minor and Oswald's,3,0,48.502451,-122.484847
2024,September,Fukui,Sullivan Minor and Oswald's,13,1,48.502451,-122.484847
2024,September,Minnow,Sullivan Minor and Oswald's,23,3,48.502451,-122.484847
2023,August,Fukui,Sullivan Minor Oyster Site,3,0,48.502451,-122.489651
2023,August,Minnow,Sullivan Minor Oyster Site,3,0,48.502451,-122.489651
2021,July,Fukui,Swinomish Casino Marsh,48,0,48.459836,-122.522214
2021,July,Minnow,Swinomish Casino Marsh,82,1,48.459836,-122.522214
2023,October,Fukui,Swinomish Casino Marsh,66,1,48.459836,-122.522214
2023,October,Minnow,Swinomish Casino Marsh,90,0,48.459836,-122.522214
2023,October,Shrimp,Swinomish Casino Marsh,30,0,48.459836,-122.522214
2021,July,Fukui,Swinomish Spit,14,0,48.459216,-122.509683
2021,July,Minnow,Swinomish Spit,38,0,48.459216,-122.509683
2023,August,Fukui,Telegraph Slough,60,0,48.457874,-122.487967
2023,August,Minnow,Telegraph Slough,60,0,48.457874,-122.487967
2024,September,Fukui,Telegraph Slough,10,0,48.457874,-122.487967
2024,September,Minnow,Telegraph Slough,20,0,48.457874,-122.487967
2024,October,Fukui,Telegraph Slough,20,0,48.457874,-122.487967
2024,October,Minnow,Telegraph Slough,40,0,48.457874,-122.487967
2018,April,Fukui,Upper Big Indian/Little Indian,3,0,48.456274,-122.4738
2018,April,Minnow,Upper Big Indian/Little Indian,3,0,48.456274,-122.4738
2018,May,Fukui,Upper Big Indian/Little Indian,3,0,48.456274,-122.4738
2018,May,Minnow,Upper Big Indian/Little Indian,3,0,48.456274,-122.4738
2018,June,Fukui,Upper Big Indian/Little Indian,39,0,48.456274,-122.4738
2018,June,Minnow,Upper Big Indian/Little Indian,61,0,48.456274,-122.4738
2018,July,Fukui,Upper Big Indian/Little Indian,3,0,48.456274,-122.4738
2018,July,Minnow,Upper Big Indian/Little Indian,3,0,48.456274,-122.4738
2018,August,Fukui,Upper Big Indian/Little Indian,3,0,48.456274,-122.4738
2018,August,Minnow,Upper Big Indian/Little Indian,3,0,48.456274,-122.4738
2018,September,Fukui,Upper Big Indian/Little Indian,3,0,48.456274,-122.4738
