Effort_Type,Date_Deployed,Date_Retrieved,StartTime_Deployed,EndTime_Deployed,StartTime_Retrieved,EndTime_Retrieved,Weather,Personnel,Management_Area,Waterbody,Site_ID,Site_Name,Site_Info,County,Trap_Effort,Trap_Type,Trap_Number,Trap_Info,Bait,Latitude,Longitude,Date_Checked,CAMA_Total,CAMA_Male,CAMA_Female,HEOR,LEAR,HENU,GAAC,CYAG,MEMA,PAHI,PAGR,COAS,OLMA,FLAT,PLST,BAAT,NASS,BROK,SAND,BUBB,ILOB,JELL,TECH,ELFS,MEGR,CAPR,Other_Bycatch,Mortalities,Notes,Data_Source,TrackedChanges,,,,,,,,
Assessment,7/16/2018,7/18/2018,11:15,15:40,8:45,13:00,Sunny,"WDFW: Chelsey Buffington; Jamestown S'Klallam: Neil Harrington, Rylan MacDonald; Dungeness Beach Association: Mark Wegehaupt, Bob Boekelheide",Strait of Juan de Fuca,Dungeness Bay,214,Dungeness Landing,East channel,Clallam,64,Minnow,681,-,Mackerel,48.15121,-123.13439,7/17/2018,0,0,0,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LEAR-2,-,WDFW,"Changed combined ""East/West Dungeness Landing"" into one site name of ""Dungeness Landing"", added site info, updated trap effort - CB 1/27/22; Changed management area from ""Eastern Strait of Juan de Fuca"" to ""Strait of Juan de Fuca"" to standardize 2022 derived EGC Management Area boundaries - CB 11/7/2022",,,,,,,,
Assessment,7/16/2018,7/17/2018,11:15,15:40,8:45,13:00,Sunny,"WDFW: Chelsey Buffington; Jamestown S'Klallam: Neil Harrington, Rylan MacDonald; Dungeness Beach Association: Mark Wegehaupt, Bob Boekelheide",Strait of Juan de Fuca,Dungeness Bay,214,Dungeness Landing,East channel,Clallam,64,Minnow,682,-,Mackerel,48.15159,-123.13388,7/17/2018,0,0,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LEAR-1,-,WDFW,"Changed combined ""East/West Dungeness Landing"" into one site name of ""Dungeness Landing"", added site info, updated trap effort - CB 1/27/22; Changed management area from ""Eastern Strait of Juan de Fuca"" to ""Strait of Juan de Fuca"" to standardize 2022 derived EGC Management Area boundaries - CB 11/7/2022",,,,,,,,
Assessment,7/16/2018,7/18/2018,11:15,15:40,8:45,13:00,Sunny,"WDFW: Chelsey Buffington; Jamestown S'Klallam: Neil Harrington, Rylan MacDonald; Dungeness Beach Association: Mark Wegehaupt, Bob Boekelheide",Strait of Juan de Fuca,Dungeness Bay,214,Dungeness Landing,West channel,Clallam,64,Fukui,1,-,Mackerel,48.14917,-123.13851,7/17/2018,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,WDFW,"Changed combined ""East/West Dungeness Landing"" into one site name of ""Dungeness Landing"", added site info, updated trap effort - CB 1/27/22; Changed management area from ""Eastern Strait of Juan de Fuca"" to ""Strait of Juan de Fuca"" to standardize 2022 derived EGC Management Area boundaries - CB 11/7/2022",,,,,,,,
Assessment,7/16/2018,7/18/2018,11:15,15:40,8:45,13:00,Sunny,"WDFW: Chelsey Buffington; Jamestown S'Klallam: Neil Harrington, Rylan MacDonald; Dungeness Beach Association: Mark Wegehaupt, Bob Boekelheide",Strait of Juan de Fuca,Dungeness Bay,214,Dungeness Landing,West channel,Clallam,64,Fukui,2,-,Mackerel,48.14956,-123.13896,7/17/2018,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,WDFW,"Changed combined ""East/West Dungeness Landing"" into one site name of ""Dungeness Landing"", added site info, updated trap effort - CB 1/27/22; Changed management area from ""Eastern Strait of Juan de Fuca"" to ""Strait of Juan de Fuca"" to standardize 2022 derived EGC Management Area boundaries - CB 11/7/2022",,,,,,,,
Assessment,7/16/2018,7/18/2018,11:15,15:40,8:45,13:00,Sunny,"WDFW: Chelsey Buffington; Jamestown S'Klallam: Neil Harrington, Rylan MacDonald; Dungeness Beach Association: Mark Wegehaupt, Bob Boekelheide",Strait of Juan de Fuca,Dungeness Bay,214,Dungeness Landing,West channel,Clallam,64,Fukui,3,-,Mackerel,48.14962,-123.13936,7/17/2018,0,0,0,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,WDFW,"Changed combined ""East/West Dungeness Landing"" into one site name of ""Dungeness Landing"", added site info, updated trap effort - CB 1/27/22; Changed management area from ""Eastern Strait of Juan de Fuca"" to ""Strait of Juan de Fuca"" to standardize 2022 derived EGC Management Area boundaries - CB 11/7/2022",,,,,,,,
Assessment,7/16/2018,7/18/2018,11:15,15:40,8:45,13:00,Sunny,"WDFW: Chelsey Buffington; Jamestown S'Klallam: Neil Harrington, Rylan MacDonald; Dungeness Beach Association: Mark Wegehaupt, Bob Boekelheide",Strait of Juan de Fuca,Dungeness Bay,214,Dungeness Landing,West channel,Clallam,64,Fukui,4,-,Mackerel,48.14962,-123.13857,7/17/2018,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,WDFW,"Changed combined ""East/West Dungeness Landing"" into one site name of ""Dungeness Landing"", added site info, updated trap effort - CB 1/27/22; Changed management area from ""Eastern Strait of Juan de Fuca"" to ""Strait of Juan de Fuca"" to standardize 2022 derived EGC Management Area boundaries - CB 11/7/2022",,,,,,,,
Assessment,7/16/2018,7/18/2018,11:15,15:40,8:45,13:00,Sunny,"WDFW: Chelsey Buffington; Jamestown S'Klallam: Neil Harrington, Rylan MacDonald; Dungeness Beach Association: Mark Wegehaupt, Bob Boekelheide",Strait of Juan de Fuca,Dungeness Bay,214,Dungeness Landing,West channel,Clallam,64,Fukui,5,-,Mackerel,48.14935,-123.13861,7/17/2018,0,0,0,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,WDFW,"Changed combined ""East/West Dungeness Landing"" into one site name of ""Dungeness Landing"", added site info, updated trap effort - CB 1/27/22; Changed management area from ""Eastern Strait of Juan de Fuca"" to ""Strait of Juan de Fuca"" to standardize 2022 derived EGC Management Area boundaries - CB 11/7/2022",,,,,,,,
Assessment,7/16/2018,7/18/2018,11:15,15:40,8:45,13:00,Sunny,"WDFW: Chelsey Buffington; Jamestown S'Klallam: Neil Harrington, Rylan MacDonald; Dungeness Beach Association: Mark Wegehaupt, Bob Boekelheide",Strait of Juan de Fuca,Dungeness Bay,214,Dungeness Landing,West channel,Clallam,64,Fukui,6,-,Mackerel,48.14952,-123.13775,7/17/2018,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,WDFW,"Changed combined ""East/West Dungeness Landing"" into one site name of ""Dungeness Landing"", added site info, updated trap effort - CB 1/27/22; Changed management area from ""Eastern Strait of Juan de Fuca"" to ""Strait of Juan de Fuca"" to standardize 2022 derived EGC Management Area boundaries - CB 11/7/2022",,,,,,,,
Assessment,7/16/2018,7/18/2018,11:15,15:40,8:45,13:00,Sunny,"WDFW: Chelsey Buffington; Jamestown S'Klallam: Neil Harrington, Rylan MacDonald; Dungeness Beach Association: Mark Wegehaupt, Bob Boekelheide",Strait of Juan de Fuca,Dungeness Bay,214,Dungeness Landing,West channel,Clallam,64,Fukui,7,-,Mackerel,48.15015,-123.13663,7/17/2018,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,WDFW,"Changed combined ""East/West Dungeness Landing"" into one site name of ""Dungeness Landing"", added site info, updated trap effort - CB 1/27/22; Changed management area from ""Eastern Strait of Juan de Fuca"" to ""Strait of Juan de Fuca"" to standardize 2022 derived EGC Management Area boundaries - CB 11/7/2022",,,,,,,,
Assessment,7/16/2018,7/18/2018,11:15,15:40,8:45,13:00,Sunny,"WDFW: Chelsey Buffington; Jamestown S'Klallam: Neil Harrington, Rylan MacDonald; Dungeness Beach Association: Mark Wegehaupt, Bob Boekelheide",Strait of Juan de Fuca,Dungeness Bay,214,Dungeness Landing,West channel,Clallam,64,Fukui,8,-,Mackerel,48.14991,-123.13649,7/17/2018,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LEAR-1,-,WDFW,"Changed combined ""East/West Dungeness Landing"" into one site name of ""Dungeness Landing"", added site info, updated trap effort - CB 1/27/22; Changed management area from ""Eastern Strait of Juan de Fuca"" to ""Strait of Juan de Fuca"" to standardize 2022 derived EGC Management Area boundaries - CB 11/7/2022",,,,,,,,
Assessment,7/16/2018,7/18/2018,11:15,15:40,8:45,13:00,Sunny,"WDFW: Chelsey Buffington; Jamestown S'Klallam: Neil Harrington, Rylan MacDonald; Dungeness Beach Association: Mark Wegehaupt, Bob Boekelheide",Strait of Juan de Fuca,Dungeness Bay,214,Dungeness Landing,West channel,Clallam,64,Fukui,9,-,Mackerel,48.14947,-123.13620,7/17/2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,WDFW,"Changed combined ""East/West Dungeness Landing"" into one site name of ""Dungeness Landing"", added site info, updated trap effort - CB 1/27/22; Changed management area from ""Eastern Strait of Juan de Fuca"" to ""Strait of Juan de Fuca"" to standardize 2022 derived EGC Management Area boundaries - CB 11/7/2022",,,,,,,,
Assessment,7/16/2018,7/18/2018,11:15,15:40,8:45,13:00,Sunny,"WDFW: Chelsey Buffington; Jamestown S'Klallam: Neil Harrington, Rylan MacDonald; Dungeness Beach Association: Mark Wegehaupt, Bob Boekelheide",Strait of Juan de Fuca,Dungeness Bay,214,Dungeness Landing,West channel,Clallam,64,Fukui,10,-,Mackerel,48.14913,-123.13640,7/17/2018,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LEAR-1,-,WDFW,"Changed combined ""East/West Dungeness Landing"" into one site name of ""Dungeness Landing"", added site info, updated trap effort - CB 1/27/22; Changed management area from ""Eastern Strait of Juan de Fuca"" to ""Strait of Juan de Fuca"" to standardize 2022 derived EGC Management Area boundaries - CB 11/7/2022",,,,,,,,
Assessment,7/16/2018,7/18/2018,11:15,15:40,8:45,13:00,Sunny,"WDFW: Chelsey Buffington; Jamestown S'Klallam: Neil Harrington, Rylan MacDonald; Dungeness Beach Association: Mark Wegehaupt, Bob Boekelheide",Strait of Juan de Fuca,Dungeness Bay,214,Dungeness Landing,West channel,Clallam,64,Minnow,659,-,Mackerel,48.15014,-123.13677,7/17/2018,0,0,0,34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LEAR-1,-,WDFW,"Changed combined ""East/West Dungeness Landing"" into one site name of ""Dungeness Landing"", added site info, updated trap effort - CB 1/27/22; Changed management area from ""Eastern Strait of Juan de Fuca"" to ""Strait of Juan de Fuca"" to standardize 2022 derived EGC Management Area boundaries - CB 11/7/2022",,,,,,,,
Assessment,7/16/2018,7/18/2018,11:15,15:40,8:45,13:00,Sunny,"WDFW: Chelsey Buffington; Jamestown S'Klallam: Neil Harrington, Rylan MacDonald; Dungeness Beach Association: Mark Wegehaupt, Bob Boekelheide",Strait of Juan de Fuca,Dungeness Bay,214,Dungeness Landing,West channel,Clallam,64,Minnow,660,-,Mackerel,48.14905,-123.13745,7/17/2018,0,0,0,26,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LEAR-6,-,WDFW,"Changed combined ""East/West Dungeness Landing"" into one site name of ""Dungeness Landing"", added site info, updated trap effort - CB 1/27/22; Changed management area from ""Eastern Strait of Juan de Fuca"" to ""Strait of Juan de Fuca"" to standardize 2022 derived EGC Management Area boundaries - CB 11/7/2022",,,,,,,,
Assessment,7/16/2018,7/18/2018,11:15,15:40,8:45,13:00,Sunny,"WDFW: Chelsey Buffington; Jamestown S'Klallam: Neil Harrington, Rylan MacDonald; Dungeness Beach Association: Mark Wegehaupt, Bob Boekelheide",Strait of Juan de Fuca,Dungeness Bay,214,Dungeness Landing,West channel,Clallam,64,Minnow,661,-,Mackerel,48.14951,-123.13745,7/17/2018,0,0,0,21,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LEAR-11,-,WDFW,"Changed combined ""East/West Dungeness Landing"" into one site name of ""Dungeness Landing"", added site info, updated trap effort - CB 1/27/22; Changed management area from ""Eastern Strait of Juan de Fuca"" to ""Strait of Juan de Fuca"" to standardize 2022 derived EGC Management Area boundaries - CB 11/7/2022",,,,,,,,
Assessment,7/16/2018,7/18/2018,11:15,15:40,8:45,13:00,Sunny,"WDFW: Chelsey Buffington; Jamestown S'Klallam: Neil Harrington, Rylan MacDonald; Dungeness Beach Association: Mark Wegehaupt, Bob Boekelheide",Strait of Juan de Fuca,Dungeness Bay,214,Dungeness Landing,West channel,Clallam,64,Minnow,662,-,Mackerel,48.14962,-123.13918,7/17/2018,0,0,0,20,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,WDFW,"Changed combined ""East/West Dungeness Landing"" into one site name of ""Dungeness Landing"", added site info, updated trap effort - CB 1/27/22; Changed management area from ""Eastern Strait of Juan de Fuca"" to ""Strait of Juan de Fuca"" to standardize 2022 derived EGC Management Area boundaries - CB 11/7/2022",,,,,,,,
Assessment,7/16/2018,7/18/2018,11:15,15:40,8:45,13:00,Sunny,"WDFW: Chelsey Buffington; Jamestown S'Klallam: Neil Harrington, Rylan MacDonald; Dungeness Beach Association: Mark Wegehaupt, Bob Boekelheide",Strait of Juan de Fuca,Dungeness Bay,214,Dungeness Landing,West channel,Clallam,64,Minnow,663,-,Mackerel,48.14949,-123.13873,7/17/2018,0,0,0,19,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,WDFW,"Changed combined ""East/West Dungeness Landing"" into one site name of ""Dungeness Landing"", added site info, updated trap effort - CB 1/27/22; Changed management area from ""Eastern Strait of Juan de Fuca"" to ""Strait of Juan de Fuca"" to standardize 2022 derived EGC Management Area boundaries - CB 11/7/2022",,,,,,,,
Assessment,7/16/2018,7/17/2018,11:15,15:40,8:45,13:00,Sunny,"WDFW: Chelsey Buffington; Jamestown S'Klallam: Neil Harrington, Rylan MacDonald; Dungeness Beach Association: Mark Wegehaupt, Bob Boekelheide",Strait of Juan de Fuca,Dungeness Bay,214,Dungeness Landing,West channel,Clallam,64,Minnow,667,-,Mackerel,48.14955,-123.13609,7/17/2018,0,0,0,5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LEAR-12,-,WDFW,"Changed combined ""East/West Dungeness Landing"" into one site name of ""Dungeness Landing"", added site info, updated trap effort - CB 1/27/22; Changed management area from ""Eastern Strait of Juan de Fuca"" to ""Strait of Juan de Fuca"" to standardize 2022 derived EGC Management Area boundaries - CB 11/7/2022",,,,,,,,
Assessment,7/16/2018,7/18/2018,11:15,15:40,8:45,13:00,Sunny,"WDFW: Chelsey Buffington; Jamestown S'Klallam: Neil Harrington, Rylan MacDonald; Dungeness Beach Association: Mark Wegehaupt, Bob Boekelheide",Strait of Juan de Fuca,Dungeness Bay,214,Dungeness Landing,West channel,Clallam,64,Minnow,668,-,Mackerel,48.14892,-123.13621,7/17/2018,0,0,0,18,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LEAR-3,-,WDFW,"Changed combined ""East/West Dungeness Landing"" into one site name of ""Dungeness Landing"", added site info, updated trap effort - CB 1/27/22; Changed management area from ""Eastern Strait of Juan de Fuca"" to ""Strait of Juan de Fuca"" to standardize 2022 derived EGC Management Area boundaries - CB 11/7/2022",,,,,,,,
Assessment,7/16/2018,7/18/2018,11:15,15:40,8:45,13:00,Sunny,"WDFW: Chelsey Buffington; Jamestown S'Klallam: Neil Harrington, Rylan MacDonald; Dungeness Beach Association: Mark Wegehaupt, Bob Boekelheide",Strait of Juan de Fuca,Dungeness Bay,214,Dungeness Landing,West channel,Clallam,64,Minnow,673,-,Mackerel,48.14934,-123.13641,7/17/2018,0,0,0,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LEAR-5,-,WDFW,"Changed combined ""East/West Dungeness Landing"" into one site name of ""Dungeness Landing"", added site info, updated trap effort - CB 1/27/22; Changed management area from ""Eastern Strait of Juan de Fuca"" to ""Strait of Juan de Fuca"" to standardize 2022 derived EGC Management Area boundaries - CB 11/7/2022",,,,,,,,
Assessment,7/16/2018,7/18/2018,11:15,15:40,8:45,13:00,Sunny,"WDFW: Chelsey Buffington; Jamestown S'Klallam: Neil Harrington, Rylan MacDonald; Dungeness Beach Association: Mark Wegehaupt, Bob Boekelheide",Strait of Juan de Fuca,Dungeness Bay,214,Dungeness Landing,West channel,Clallam,64,Minnow,674,-,Mackerel,48.14983,-123.13853,7/17/2018,0,0,0,26,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,WDFW,"Changed combined ""East/West Dungeness Landing"" into one site name of ""Dungeness Landing"", added site info, updated trap effort - CB 1/27/22; Changed management area from ""Eastern Strait of Juan de Fuca"" to ""Strait of Juan de Fuca"" to standardize 2022 derived EGC Management Area boundaries - CB 11/7/2022",,,,,,,,
Assessment,7/16/2018,7/18/2018,11:15,15:40,8:45,13:00,Sunny,"WDFW: Chelsey Buffington; Jamestown S'Klallam: Neil Harrington, Rylan MacDonald; Dungeness Beach Association: Mark Wegehaupt, Bob Boekelheide",Strait of Juan de Fuca,Dungeness Bay,214,Dungeness Landing,West channel,Clallam,64,Minnow,675,-,Mackerel,48.14880,-123.13719,7/17/2018,0,0,0,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LEAR-3,-,WDFW,"Changed combined ""East/West Dungeness Landing"" into one site name of ""Dungeness Landing"", added site info, updated trap effort - CB 1/27/22; Changed management area from ""Eastern Strait of Juan de Fuca"" to ""Strait of Juan de Fuca"" to standardize 2022 derived EGC Management Area boundaries - CB 11/7/2022",,,,,,,,
Assessment,7/16/2018,7/18/2018,11:15,15:40,8:45,13:00,Sunny,"WDFW: Chelsey Buffington; Jamestown S'Klallam: Neil Harrington, Rylan MacDonald; Dungeness Beach Association: Mark Wegehaupt, Bob Boekelheide",Strait of Juan de Fuca,Dungeness Bay,214,Dungeness Landing,West channel,Clallam,64,Minnow,676,-,Mackerel,48.14865,-123.13693,7/17/2018,0,0,0,10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LEAR-9,-,WDFW,"Changed combined ""East/West Dungeness Landing"" into one site name of ""Dungeness Landing"", added site info, updated trap effort - CB 1/27/22; Changed management area from ""Eastern Strait of Juan de Fuca"" to ""Strait of Juan de Fuca"" to standardize 2022 derived EGC Management Area boundaries - CB 11/7/2022",,,,,,,,
