objectid,GlobalID,Trap Number,Total Male,Total Female,Total Catch,Site Name,Effort Type,Total Gravid,Trap Type,Set Date and Time,Date and time of Trap being removed.,Acquisition Date,Management Area,Version Used,x,y
29502,d0e8a023-a29d-46a6-b3d3-ae218101fe11,2290,0,0,0,Swinomish Channel,Early Detection,0,Fukui,10/11/2023 18:35,10/13/2023 16:49,10/11/2023 20:19:49.974,North Central Puget Sound,DFW,-122.4993644,48.39200525
22008,13f2ec11-7915-4cbf-bf54-3f542b77c52d,1930,0,0,0,Dabob Bay NAP,Early Detection,,Fukui,9/20/2022 9:06,9/22/2022 8:15,02/28/2023 05:30:15.240,Hood Canal,DFW,-122.807535,47.84209
26182,c604078b-2809-4a74-a5be-1155f60778ed,2556,0,0,0,Right Smart Cove ,Early Detection,0,Fukui,7/11/2023 18:09,7/12/2023 16:16,07/11/2023 18:38:40.968,Hood Canal,DFW,-122.8800697,47.73367814
29431,db61dcf1-81c4-440c-a52f-5ab4ca8d3d60,0523,0,0,0,Misery Point Lagoon,Assessment,0,Shrimp – other,10/10/2023 17:28,10/12/2023 18:03,10/10/2023 17:32:01.191,Hood Canal,DFW,-122.828029,47.65340346
34411,f49edab6-3139-449a-a70a-dccc98a3f54c,0995,0,0,0,Big Beef Harbor,Monitoring,0,Minnow,8/6/2024 18:30,8/8/2024 19:40,08/06/2024 18:30:50.295,,WDFW,-122.7812156,47.65486148
15439,84bf4cc0-b649-4b01-bbf4-6016a9aa6afd,1409-R,0,0,0,South,Assessment,,Minnow,7/12/2021 10:40,7/14/2021 13:30,02/28/2023 05:30:15.240,North Puget Sound,DFW,-122.763444,48.907455
23929,7f15318a-bd9d-4d19-9999-274bbf5679d5,1519,0,0,0,Duckabush,Early Detection,0,Minnow,5/16/2023 16:05,5/18/2023 14:23,05/16/2023 16:07:14.757,Hood Canal,DFW,-122.9352918,47.64700169
25921,27935996-6faa-49c8-8839-50694d29cb8f,1178,0,0,0,Linger Longer ,Assessment,0,Minnow,6/28/2023 14:32,6/30/2023 15:21,06/28/2023 14:49:04.165,Hood Canal,DFW,-122.8689184,47.80955692
25589,e0b3b1de-803d-4584-aff8-14d603d487cc,1716,0,0,0,Dabob Bay NAP,Early Detection,0,Minnow,6/20/2023 18:45,6/22/2023 17:38,06/20/2023 18:58:48.098,Hood Canal,DFW,-122.8113478,47.84718494
13186,c6d6a5f0-fbab-457f-a96f-e499ca05e4be,11,0,0,0,California Creek,Control,,Fukui,7/6/2020 15:08,7/8/2020 15:40,02/28/2023 05:30:15.240,North Puget Sound,DFW,-122.733445,48.960285
19020,664b9086-c7a9-4280-a061-3a0ee08ea1e1,5-B11,0,0,0,Central,Removal,,Shrimp,8/24/2021 8:52,8/26/2021 8:30,02/28/2023 05:30:15.240,North Puget Sound,DFW,-122.762093,48.966986
17763,ebcab84a-5b21-4b9d-8726-20507d9bacda,57-P,0,0,0,Dakota Creek,Removal,,Minnow,5/13/2021 14:45,5/14/2021 13:06,02/28/2023 05:30:15.240,North Puget Sound,DFW,-122.738068,48.973678
17692,e2f5c9ec-b130-4ff6-b271-ce8f46290d06,609-P,0,1,1,Dakota Creek,Removal,,Fukui,5/10/2021 11:05,5/14/2021 12:30,02/28/2023 05:30:15.240,North Puget Sound,DFW,-122.733689,48.973525
18095,c7b8cd6f-c289-45a4-bb2b-e2a8ee701e3e,1936-R,0,0,0,Dakota Creek,Removal,,Fukui,6/15/2021 14:10,6/16/2021 15:45,02/28/2023 05:30:15.240,North Puget Sound,DFW,-122.732941,48.973137
12854,a93d6acb-a273-4c9b-828b-d1460ed3e9e8,685,0,0,0,East,Control,,Minnow,6/8/2020 13:20,6/10/2020 14:40,02/28/2023 05:30:15.240,North Puget Sound,DFW,-122.733225,48.968234
14111,0695432b-872f-48de-abad-31cb16aeb107,11-P,0,1,1,California Creek,Control,,Fukui,9/28/2020 10:48,9/30/2020 10:00,02/28/2023 05:30:15.240,North Puget Sound,DFW,-122.733612,48.961832
17431,baf3af5f-20ac-410e-aa77-4f4e9656c8ce,1425-R,0,0,0,California Creek,Removal,,Minnow,4/12/2021 13:40,4/16/2021 14:00,02/28/2023 05:30:15.240,North Puget Sound,DFW,-122.734304,48.961576
18024,ea370c07-57b8-42c1-bbbb-97ae6419a4ed,115-Y,0,0,0,California Creek,Removal,,Fukui,6/8/2021 11:00,6/10/2021 12:00,02/28/2023 05:30:15.240,North Puget Sound,DFW,-122.734102,48.96118
19352,f0841b2d-fce2-4844-b015-aaebb0cb2bae,129-P,0,0,0,California Creek,Removal,,Minnow,9/7/2021 12:35,9/9/2021 14:27,02/28/2023 05:30:15.240,North Puget Sound,DFW,-122.733894,48.960865
20016,666b09bc-b1ff-42ea-8c85-cb0352d7ab3c,746,0,0,0,Johns River,Assessment,,Shrimp,7/28/2022 7:47,7/29/2022 8:23,02/28/2023 05:30:15.240,Grays Harbor,DFW,-123.9876133,46.8992705
14775,d7d78b37-e2f2-436b-a624-119b83b3de82,166-Y,0,0,0,Johns River,Assessment,,Fukui,9/16/2020 10:30,9/17/2020 9:00,02/28/2023 05:30:15.240,Grays Harbor,DFW,-123.988919,46.904866
29763,7e91ed28-6a7d-4665-b018-d67f2c407a2e,790,5,5,10,Leadbetter,Assessment,0,Minnow,10/25/2023 15:48,10/27/2023 15:11,10/25/2023 16:11:14.547,Willapa Bay,DFW,-124.041889,46.60774381
28838,d9eeb2f3-06b3-4ee6-b763-6bec42ffcb1c,1557,10,7,17,Leadbetter,Assessment,0,Shrimp,9/13/2023 17:34,9/15/2023 17:54,09/13/2023 17:35:22.452,Willapa Bay,DFW,-124.0429922,46.60832695
21012,af4bbbdd-d4c6-4398-80d4-49de922a4ae0,1572,1,0,1,Diamond Point,Assessment,,Shrimp,10/18/2022 11:00,10/20/2022 8:53,02/28/2023 05:30:15.240,Willapa Bay,DFW,-123.987263,46.51465
28174,c371b321-2781-4d1f-a18e-f72efcd2ca91,0746,7,0,7,Duckland,Assessment,0,Shrimp – other,8/30/2023 15:51,9/1/2023 15:52,08/30/2023 15:52:03.642,Grays Harbor,DFW,-124.0843158,46.85913895
27510,0138bb25-60ee-4ce3-bb71-d00bb9d2fdf4,1547,0,0,0,Henry Island - Eastern,Early Detection,0,Minnow,8/14/2023 17:45,8/15/2023 19:13,08/14/2023 17:47:55.089,North Puget Sound,DFW,-123.1805308,48.59253904
10198,cafe59e7-961b-4ddd-999c-2222f152a5c7,626,0,0,0,Westcott Bay Marsh,Assessment,,Fukui,7/24/2018 8:30,7/25/2018 8:00,02/28/2023 05:30:15.240,North Puget Sound,DFW,-123.1435,48.60841
20680,6722e03a-c6ed-480c-a829-1969146c477c,1699,1,1,2,Grassy Slough,Assessment,,Fukui,9/20/2022 7:27,9/22/2022 8:05,02/28/2023 05:30:15.240,Willapa Bay,DFW,-124.04983,46.63149
23265,dd9e11c8-3478-47ab-8240-1aeb0c816331,1556,0,0,0,Stackpole,Assessment,0,Shrimp,4/27/2023 21:40,4/28/2023 21:07,04/27/2023 22:20:50.310,Willapa Bay,DFW,-124.0374844,46.59778023
29170,54c6a62f-9471-4c3e-bdc9-e7e65c1b5f8a,1560,13,10,23,Leadbetter,Assessment,0,Shrimp,9/28/2023 16:13,9/29/2023 15:11,09/28/2023 16:38:46.924,Willapa Bay,DFW,-124.0418335,46.60779025
10862,34792235-0ba5-4aec-b4a9-9096db531275,578,0,0,0,Wollochet Bay,Early Detection,,Shrimp – other,5/21/2019 11:40,5/23/2019 13:45,02/28/2023 05:30:15.240,South Puget Sound,DFW,-122.61725,47.29815
35004,11e8e2a5-bf86-482c-a364-9cf10d529c4f,1076,0,0,0,Nisqually Reserve,Early Detection,0,Fukui,8/19/2024 17:02,8/22/2024 18:42,08/19/2024 17:02:51.295,,WDFW,-122.7153386,47.08118845
16103,05f5b872-bf4f-4436-80b3-5fa592847be9,1137-B,0,0,0,Billy Frank Jr. Nisqual,Early Detection,,Fukui,8/17/2021 6:45,8/19/2021 6:20,02/28/2023 05:30:15.240,South Puget Sound,DFW,-122.693814,47.084604
34008,48c0fdf2-3ff9-43a4-8db5-0e92f2095dd8,2265,0,0,0,Scow Bay,Assessment,0,Fukui,7/30/2024 19:30,8/1/2024 16:55,07/30/2024 19:30:29.295,,WDFW,-122.701027,48.01976291
21937,2c7e5b37-bcda-43b1-94ad-4b8eb6828ec2,1422,0,0,0,Shine Tidelands,Early Detection,,Fukui,8/11/2022 13:45,8/12/2022 10:00,02/28/2023 05:30:15.240,Eastern Strait and Admiralty Inlet,DFW,-122.632403,47.884971
31755,fe199f98-5077-4fd8-a5f1-1b82a028606d,2178,0,0,0,Driftwood Key Marina,Early Detection,0,Minnow,6/4/2024 15:27,6/6/2024 16:19,06/04/2024 15:27:58.295,,WDFW,-122.5872893,47.90630163
26253,cf271d91-12c6-4035-a731-8419fd074f83,1090,0,0,0,Deer Lagoon,Early Detection,0,Minnow,7/17/2023 18:01,7/20/2023 19:22,07/17/2023 18:03:00.987,North Central Puget Sound,DFW,-122.4847359,47.9954756
15107,7c63bffe-e0f1-42d8-93c7-d12d4ed140b7,696-P,0,0,0,Walan Point,Early Detection,,Fukui,5/11/2021 9:30,5/12/2021 7:52,02/28/2023 05:30:15.240,Eastern Strait and Admiralty Inlet,DFW,-122.743604,48.07345
31423,5443ba54-87cd-4598-9a53-65e65f608c90,1756,0,0,0,Indian Island Lagoon,Early Detection,0,Fukui,5/28/2024 23:12,5/31/2024 0:32,05/28/2024 23:12:27.295,,WDFW,-122.7175477,48.02519357
10530,5352ba68-8e91-4817-bec4-369b3d687b69,571,0,0,0,Scow Bay,Early Detection,,Fukui,9/20/2018 12:00,9/21/2018 7:45,02/28/2023 05:30:15.240,Eastern Strait and Admiralty Inlet,DFW,-122.70067,48.0175
25186,84d47a7c-0051-44ee-9bae-fe569efe33a3,2266,0,0,0,Maynard Lagoon,Assessment,0,Fukui,6/14/2023 16:25,6/16/2023 17:32,06/14/2023 17:31:20.747,Eastern Strait and Admiralty Inlet,DFW,-122.8796869,47.99824739
11526,fed2926c-5736-43c2-976c-fa4458d889ac,675,0,0,0,Snow Creek,Early Detection,,Minnow,9/9/2019 10:00,9/11/2019 12:00,02/28/2023 05:30:15.240,Eastern Strait and Admiralty Inlet,DFW,-122.88519,47.99031
21676,04a7ce28-42f1-4cbe-a60d-375c77826259,625,0,0,0,Snow Creek,Assessment,,Fukui,9/7/2022 12:53,9/9/2022 13:45,02/28/2023 05:30:15.240,Eastern Strait and Admiralty Inlet,DFW,-122.883507,47.990747
11858,c80a360e-e13d-492e-b48b-aa9a9a7c794e,1131,0,0,0,Kala Point,Early Detection,,Fukui,6/8/2020 10:00,6/10/2020 12:45,02/28/2023 05:30:15.240,Eastern Strait and Admiralty Inlet,DFW,-122.7692,48.05703
12190,1e851989-6aee-4608-b69b-b1e56a78fd27,114-Y,0,0,0,Salmon Creek,Early Detection,,Minnow,8/3/2020 14:40,8/5/2020 11:31,02/28/2023 05:30:15.240,Eastern Strait and Admiralty Inlet,DFW,-122.88833,47.99186
21605,6b553ee7-9193-443c-b0fa-17a220834dcb,1470,0,0,0,Salmon Creek,Assessment,,Fukui,9/7/2022 8:00,9/9/2022 9:18,02/28/2023 05:30:15.240,Eastern Strait and Admiralty Inlet,DFW,-122.889162,47.991235
24261,a21b50b8-ff9d-4449-b54b-1e569bbb8eb5,2323,0,0,0,Salmon Creek,Assessment,0,Fukui,5/23/2023 17:00,5/26/2023 18:53,05/23/2023 17:01:51.114,Eastern Strait and Admiralty Inlet,DFW,-122.8894182,47.9898034
24593,5aa0bb74-77ba-4607-899b-5e47e14f9126,2591,0,0,0,Maynard Lagoon,Assessment,0,Fukui,5/25/2023 20:02,5/26/2023 22:07,05/25/2023 20:20:10.902,Eastern Strait and Admiralty Inlet,DFW,-122.8817268,47.99787792
26846,6c157d2f-abde-47a0-8640-2cf79d59069c,1714,0,2,2,Maynard Lagoon,Assessment,0,Shrimp – other,7/25/2023 19:12,7/27/2023 18:28,07/25/2023 19:46:25.377,Eastern Strait and Admiralty Inlet,DFW,-122.8814215,47.99789032
25518,e37f77a4-87c2-4b14-aff0-527a420003b6,1652,0,0,0,Giles Slough,Assessment,0,Fukui,6/20/2023 15:00,6/22/2023 15:42,06/20/2023 18:10:42.436,Willapa Bay,DFW,-124.0162239,46.38556676
20348,04536a92-5d98-4ef9-b86e-e160f704fca2,1658,0,0,0,Waikiki Lagoon,Assessment,,Fukui,8/29/2022 9:01,8/30/2022 12:20,02/28/2023 05:30:15.240,Columbia River,DFW,-124.061491,46.279335
15771,a469d14a-e47d-4db3-9972-f4fedb0bfe2b,129-P,0,0,0,Jimmycomelately Creek,Assessment,,Minnow,7/27/2021 10:40,7/29/2021 11:50,02/28/2023 05:30:15.240,Eastern Strait and Admiralty Inlet,DFW,-123.006935,48.023283
29834,b31016ee-cbc0-4bfe-b042-77e3743e6d72,1582,8,1,9,Nahcotta,Assessment,0,Shrimp,11/15/2023 15:55,11/17/2023 16:15,11/15/2023 17:05:47.355,Willapa Bay,DFW,-124.031133,46.49415343
27842,cbc09df8-6b6a-4ebb-97ab-c81940bd9551,751,0,0,0,Kaffee Slough,Assessment,0,Minnow,8/21/2023 17:16,8/23/2023 18:03,08/21/2023 17:43:18.310,Willapa Bay,DFW,-123.9646482,46.47136435
9866,cb7ad01b-77a5-4e73-962e-935dab0cfbad,599,0,0,0,O'Meara Point,Assessment,0,Minnow,2/6/2023 15:37,2/8/2023 17:46,02/28/2023 05:30:15.240,Willapa Bay,DFW,-123.9396445,46.40405795
16435,11f90fe4-4651-4e91-a57c-a9ce117aecb1,1137-B,0,0,0,Bear River Estuary,Assessment,,Fukui,5/17/2021 11:54,5/19/2021 11:30,02/28/2023 05:30:15.240,Willapa Bay,DFW,-123.959941,46.369205
19684,00c8e999-e34c-4626-84b4-cbcafe0e2a34,1653,1,0,1,Greenhead Slough,Assessment ,,Fukui,6/27/2022 6:00,6/29/2022 7:00,02/28/2023 05:30:15.240,Willapa Bay,DFW,-123.9507471,46.3727068
27178,5a411f7b-b0fd-4536-abd3-3254a63fb5fc,1024,10,0,10,Giles Slough,Assessment,0,Shrimp,8/1/2023 14:18,8/4/2023 18:36,08/01/2023 14:39:41.926,Willapa Bay,DFW,-124.0176739,46.38909247
25850,335098b9-6311-445d-9f9c-3196f4693286,2479,0,0,0,Post Point Lagoon,Rapid Response,0,Fukui,6/27/2023 18:46,6/29/2023 18:33,06/27/2023 18:52:31.894,North Puget Sound,DFW,-122.5156567,48.71861678
17028,128444ae-9541-4163-8ea3-6d85e7a5b397,155-P,0,0,0,Blue Slough,Assessment,,Minnow,7/12/2021 10:10,7/14/2021 9:30,02/28/2023 05:30:15.240,Grays Harbor,DFW,-123.72068,46.940301
14443,bc5dbe37-4299-4d0f-aa77-c63f100d40be,630-P,0,1,1,Nahcotta,Assessment,,Minnow,8/3/2020 8:30,8/5/2020 9:35,02/28/2023 05:30:15.240,Willapa Bay,DFW,-124.02923,46.49566
21344,c6d1e969-dd3c-4953-8a32-90b4d4928bd0,807,0,0,0,Seabeck Bay,Rapid Response,,Shrimp,5/26/2022 13:40,5/27/2022 8:00,02/28/2023 05:30:15.240,Hood Canal,DFW,-122.8315845,47.6414162
26514,8a7f72ad-73f3-4968-9eec-d1b16a7ce64a,1190,0,0,0,Chico Creek,Early Detection,0,Shrimp,7/18/2023 19:18,7/20/2023 18:25,07/18/2023 19:40:16.429,South Central Puget Sound,DFW,-122.6962433,47.60551942
11194,08fb4e0c-9af9-437a-8f2a-01365c38350e,646,0,0,0,Chuckanut Bay,Rapid Response,,Fukui,7/29/2019 8:30,7/31/2019 8:00,02/28/2023 05:30:15.240,North Puget Sound,DFW,-122.49683,48.6991
29740,e0e1ecc1-8d55-410d-81ee-d4297b353ff1,1102,0,0,0,Salt Creek,Rapid Response,0,Fukui,10/24/2023 16:58,10/25/2023 15:22,10/24/2023 17:44:47.786,Western Strait,DFW,-123.7048519,48.16182117
28529,f7e52504-d7cf-4e7f-8899-839b2a46ef89,2301,0,0,0,McKinley Lagoon,Rapid Response,0,Fukui,9/11/2023 15:57,9/13/2023 15:30,09/11/2023 17:15:46.083,Eastern Strait and Admiralty Inlet,DFW,-123.4716556,48.13219207
17076,50593208-75f2-4208-abd9-6a197cacdac2,1307-G,0,0,0,Queets River,Assessment,,Fukui,7/27/2021 9:25,7/28/2021 8:55,02/28/2023 05:30:15.240,North Central Coast,DFW,-124.34962,47.535267
21250,a878dc17-2cba-485e-ab4c-37001cb9b154,561,0,0,0,Nick's Lagoon,Rapid Response,,Minnow,5/25/2022 11:45,5/27/2022 12:00,02/28/2023 05:30:15.240,Hood Canal,DFW,-122.838087,47.6380266
21367,0563402d-53e7-42fd-ae6d-4db11f4da603,783,0,0,0,Nick's Lagoon,Assessment,,Minnow,6/1/2022 15:45,6/2/2022 10:00,02/28/2023 05:30:15.240,Hood Canal,DFW,-122.838836,47.6379057
22695,23d0cf69-a2ed-4bf2-8d3b-e258ea627789,705,1,0,1,Ocean Shores Airport,Assessment,0,Minnow,3/13/2023 17:34,3/14/2023 17:43,03/13/2023 17:50:34.905,Grays Harbor,DFW,-124.1394357,47.0002948
20918,23aaa507-f9c4-48dc-8f18-5a4f6c4e9205,1070,8,5,13,Ocean Shores Airport,Assessment,,Fukui,10/10/2022 9:05,10/12/2022 8:19,02/28/2023 05:30:15.240,Grays Harbor,DFW,-124.1386,46.999743
23027,edefff71-4dec-4fbe-aa2a-ba2a959209ca,441,1,1,2,Ocean Shores Airport,Assessment,0,Minnow,4/11/2023 18:38,4/13/2023 18:16,04/11/2023 18:58:43.465,Grays Harbor,DFW,-124.1386906,46.99974767
22910,58357ec0-b149-4109-8669-7ec555379ea6,2305,4,0,4,Ocean Shores Airport,Assessment,0,Fukui,3/28/2023 19:20,3/30/2023 19:49,03/28/2023 19:21:07.494,Grays Harbor,DFW,-124.138077,46.99896929
16744,87c04bda-c27b-459a-b17d-b02f48eca495,1459-R,0,0,0,Grays Harbor NWR,Assessment,,Fukui,6/14/2021 12:05,6/16/2021 9:00,02/28/2023 05:30:15.240,Grays Harbor,DFW,-123.925229,46.981692
13209,2d04d246-4606-437d-852b-2f9821147b59,8,0,0,0,North,Control,,Fukui,7/6/2020 11:26,7/8/2020 13:45,02/28/2023 05:30:15.240,North Puget Sound,DFW,-122.752607,48.987958
14420,36941c4e-fbf7-4b27-adff-795bb139396e,63-P,0,0,0,Cain Creek,Assessment,,Minnow,10/14/2020 13:05,10/15/2020 11:40,02/28/2023 05:30:15.240,North Puget Sound,DFW,-122.755509,48.997522
24238,375cf59e-5c73-40d4-8e16-3feca7cc0bd1,2556,3,0,3,Ocean Shores Airport,Assessment,0,Fukui,5/23/2023 16:32,5/25/2023 18:58,05/23/2023 16:32:40.791,Grays Harbor,DFW,-124.1431814,47.00595936
24902,1154a894-4d9a-40f0-834b-7697ca7d8d11,1780,3,0,3,Ocean Shores Airport,Assessment,0,Fukui,6/6/2023 14:49,6/8/2023 16:52,06/06/2023 14:50:04.633,Grays Harbor,DFW,-124.1437689,47.006656
19043,3848c02e-0f22-4596-8542-72a3d22860f7,3-B16,0,0,0,West,Removal,,Shrimp,8/24/2021 8:52,8/26/2021 8:30,02/28/2023 05:30:15.240,North Puget Sound,DFW,-122.774288,48.983019
13424,3c86ca15-54c2-4b3e-a374-eadc28dcfacf,2-P,0,0,0,North,Control,,Fukui,7/22/2020 10:20,7/23/2020 12:15,02/28/2023 05:30:15.240,North Puget Sound,DFW,-122.74979,48.986277
13092,faaa9f10-0b31-4fd0-b016-d0a13434ca2d,1059,0,0,0,North,Assessment,,Minnow,6/24/2020 12:38,6/25/2020 12:55,02/28/2023 05:30:15.240,North Puget Sound,DFW,-122.758696,48.986192
19375,c9be42d2-74bf-47f9-8ac5-5fd8b320581d,92-P,0,0,0,North,Removal,,Minnow,9/13/2021 5:20,9/17/2021 6:41,02/28/2023 05:30:15.240,North Puget Sound,DFW,-122.755218,48.98891
13873,a80f59e0-5963-4e17-a762-5c939cfa9936,150-Y,0,0,0,North,Control,,Fukui,8/31/2020 9:25,9/4/2020 11:00,02/28/2023 05:30:15.240,North Puget Sound,DFW,-122.754802,48.988587
22578,0f2ad1aa-52d1-46c0-b5b9-c367dc0a65e9,714,0,0,0,South,Assessment,,Minnow,8/22/2022 9:35,8/25/2022 7:55,02/28/2023 05:30:15.240,North Puget Sound,DFW,-122.5752,48.46426
22363,ce49de41-2fd1-4ba6-b07f-ead0056e11f3,2083,0,0,0,Middle,Assessment,,Shrimp,8/22/2022 10:51,8/25/2022 10:31,02/28/2023 05:30:15.240,North Puget Sound,DFW,-122.57553,48.477942
22246,d0eecada-9705-4427-a310-98434d3050d5,1489,0,0,0,North,Assessment,,Fukui,8/22/2022 10:00,8/24/2022 10:32,02/28/2023 05:30:15.240,North Puget Sound,DFW,-122.57693,48.493172
29408,bb10fe37-e384-4d3e-afd6-23b0b783be88,2594,0,0,0,Big Beef Harbor,Assessment,0,Fukui,10/10/2023 16:02,10/12/2023 16:57,10/10/2023 16:32:08.437,Hood Canal,DFW,-122.7821149,47.65549253
30521,7eee9a7e-6983-4c61-86b1-bac6b7100d08,2941,0,0,0,Big Beef Harbor,Monitoring,0,Shrimp,5/6/2024 16:49,5/9/2024 18:12,05/06/2024 16:49:54.295,,WDFW,-122.7813634,47.65453253
23906,9ef6be0f-6020-47bc-a90c-471d831bb578,2287,0,0,0,Duckabush,Early Detection,0,Fukui,5/16/2023 15:46,5/18/2023 14:44,05/16/2023 15:48:31.103,Hood Canal,DFW,-122.9359682,47.64727857
